index,level0,duration0_us,level1,duration1_us
0,0,536,1,324
1,0,540,1,326
2,0,531,1,335
3,0,507,1,359
4,0,504,1,363
5,0,500,1,25058
6,0,3485,1,1729
7,0,437,1,1297
8,0,436,1,429
9,0,437,1,430
10,0,436,1,428
11,0,438,1,1296
12,0,436,1,429
13,0,438,1,428
14,0,438,1,428
15,0,438,1,429
16,0,437,1,1295
17,0,437,1,430
18,0,436,1,1295
19,0,438,1,1296
20,0,437,1,428
21,0,437,1,1295
22,0,438,1,1295
23,0,436,1,1296
24,0,437,1,1296
25,0,436,1,1296
26,0,437,1,429
27,0,437,1,429
28,0,437,1,1295
29,0,437,1,429
30,0,437,1,428
31,0,438,1,428
32,0,438,1,429
33,0,438,1,430
34,0,436,1,430
35,0,435,1,429
36,0,438,1,428
37,0,438,1,430
38,0,437,1,427
39,0,438,1,1295
40,0,437,1,430
41,0,436,1,1296
42,0,437,1,430
43,0,436,1,430
44,0,436,1,429
45,0,437,1,1295
46,0,437,1,1295
47,0,438,1,428
48,0,437,1,430
49,0,437,1,429
50,0,437,1,429
51,0,438,1,429
52,0,437,1,429
53,0,437,1,428
54,0,438,1,429
55,0,437,1,429
56,0,437,1,430
57,0,436,1,430
58,0,436,1,430
59,0,436,1,429
60,0,437,1,430
61,0,437,1,429
62,0,436,1,430
63,0,437,1,1296
64,0,436,1,1295
65,0,437,1,1295
66,0,438,1,429
67,0,437,1,1295
68,0,437,1,430
69,0,436,1,1296
70,0,437,1,1294
71,0,438,1,2746
72,0,3462,1,1727
73,0,438,1,1294
74,0,438,1,428
75,0,438,1,429
76,0,437,1,429
77,0,438,1,1295
78,0,437,1,428
79,0,438,1,428
80,0,437,1,429
81,0,438,1,428
82,0,438,1,1294
83,0,439,1,428
84,0,437,1,1296
85,0,437,1,1294
86,0,438,1,429
87,0,437,1,1295
88,0,438,1,1294
89,0,438,1,1294
90,0,438,1,1295
91,0,437,1,1295
92,0,437,1,429
93,0,438,1,428
94,0,437,1,1295
95,0,438,1,428
96,0,438,1,428
97,0,439,1,428
98,0,437,1,429
99,0,437,1,429
100,0,438,1,428
101,0,438,1,429
102,0,437,1,428
103,0,438,1,429
104,0,437,1,429
105,0,438,1,428
106,0,438,1,1294
107,0,438,1,429
108,0,437,1,429
109,0,437,1,428
110,0,438,1,428
111,0,438,1,1295
112,0,438,1,428
113,0,437,1,429
114,0,438,1,428
115,0,438,1,428
116,0,438,1,429
117,0,437,1,429
118,0,438,1,428
119,0,437,1,429
120,0,437,1,429
121,0,438,1,428
122,0,438,1,429
123,0,437,1,428
124,0,438,1,428
125,0,438,1,1295
126,0,438,1,428
127,0,438,1,428
128,0,439,1,427
129,0,438,1,427
130,0,439,1,428
131,0,438,1,1295
132,0,438,1,427
133,0,440,1,426
134,0,439,1,1294
135,0,438,1,1294
136,0,439,1,427
137,0,439,1,2744
138,0,3463,1,1727
139,0,439,1,1293
140,0,439,1,427
141,0,439,1,428
142,0,438,1,427
143,0,439,1,1294
144,0,439,1,427
145,0,439,1,427
146,0,438,1,428
147,0,438,1,428
148,0,439,1,1294
149,0,438,1,428
150,0,438,1,1294
151,0,438,1,1294
152,0,438,1,428
153,0,439,1,1294
154,0,438,1,1294
155,0,438,1,1295
156,0,438,1,1294
157,0,438,1,1294
158,0,439,1,427
159,0,438,1,428
160,0,438,1,1294
161,0,438,1,428
162,0,439,1,428
163,0,438,1,428
164,0,438,1,427
165,0,439,1,428
166,0,438,1,428
167,0,438,1,428
168,0,438,1,429
169,0,438,1,427
170,0,439,1,427
171,0,440,1,427
172,0,437,1,429
173,0,438,1,428
174,0,439,1,427
175,0,439,1,427
176,0,439,1,428
177,0,438,1,428
178,0,438,1,428
179,0,438,1,1294
180,0,438,1,428
181,0,439,1,428
182,0,438,1,1293
183,0,439,1,1294
184,0,439,1,1293
185,0,438,1,428
186,0,438,1,428
187,0,439,1,428
188,0,438,1,428
189,0,438,1,1294
190,0,438,1,428
191,0,438,1,428
192,0,438,1,1295
193,0,438,1,428
194,0,439,1,427
195,0,439,1,427
196,0,438,1,428
197,0,438,1,428
198,0,439,1,427
199,0,439,1,427
200,0,439,1,428
201,0,438,1,428
202,0,438,1,427
203,0,440,1,426
204,0,440,1,427
205,0,439,1,427
206,0,439,1,427
207,0,439,1,1293
208,0,440,1,427
209,0,439,1,1293
210,0,439,1,427
211,0,439,1,1292
212,0,440,1,1293
213,0,440,1,1293
214,0,440,1,1292
215,0,439,1,427
216,0,439,1,427
217,0,438,1,428
218,0,438,1,427
219,0,440,1,426
220,0,440,1,427
221,0,438,1,427
222,0,440,1,427
223,0,438,1,427
224,0,441,1,426
225,0,440,1,426
226,0,440,1,426
227,0,440,1,427
228,0,439,1,1293
229,0,439,1,1293
230,0,439,1,427
231,0,439,1,427
232,0,440,1,427
233,0,439,1,427
234,0,439,1,427
235,0,439,1,427
236,0,439,1,426
237,0,441,1,426
238,0,439,1,427
239,0,439,1,427
240,0,440,1,1293
241,0,439,1,1293
242,0,439,1,427
243,0,440,1,426
244,0,439,1,428
245,0,439,1,427
246,0,439,1,427
247,0,439,1,427
248,0,439,1,427
249,0,440,1,426
250,0,440,1,426
251,0,440,1,426
252,0,440,1,426
253,0,440,1,427
254,0,439,1,427
255,0,439,1,426
