index,level0,duration0_us,level1,duration1_us
0,0,533,1,327
1,0,513,1,354
2,0,535,1,330
3,0,531,1,336
4,0,505,1,361
5,0,501,1,25056
6,0,3486,1,1730
7,0,436,1,1295
8,0,438,1,430
9,0,436,1,429
10,0,438,1,429
11,0,436,1,1296
12,0,436,1,430
13,0,437,1,429
14,0,437,1,428
15,0,437,1,430
16,0,437,1,1296
17,0,436,1,430
18,0,436,1,1296
19,0,436,1,1296
20,0,437,1,429
21,0,437,1,1295
22,0,437,1,1296
23,0,436,1,1296
24,0,437,1,1295
25,0,437,1,1294
26,0,438,1,429
27,0,437,1,430
28,0,436,1,1296
29,0,437,1,429
30,0,437,1,429
31,0,436,1,430
32,0,437,1,429
33,0,437,1,430
34,0,436,1,429
35,0,437,1,430
36,0,436,1,430
37,0,436,1,430
38,0,436,1,430
39,0,437,1,1295
40,0,437,1,430
41,0,437,1,1295
42,0,436,1,429
43,0,437,1,430
44,0,437,1,429
45,0,437,1,1295
46,0,437,1,1296
47,0,437,1,429
48,0,437,1,430
49,0,436,1,429
50,0,436,1,430
51,0,438,1,429
52,0,436,1,430
53,0,437,1,428
54,0,437,1,429
55,0,438,1,427
56,0,438,1,430
57,0,437,1,429
58,0,437,1,429
59,0,438,1,428
60,0,437,1,430
61,0,436,1,430
62,0,437,1,429
63,0,436,1,1296
64,0,437,1,1295
65,0,437,1,1295
66,0,437,1,429
67,0,438,1,1293
68,0,439,1,429
69,0,437,1,1296
70,0,436,1,1296
71,0,437,1,2745
72,0,3462,1,1727
73,0,438,1,1295
74,0,438,1,429
75,0,437,1,427
76,0,439,1,428
77,0,438,1,1295
78,0,437,1,428
79,0,438,1,429
80,0,437,1,428
81,0,439,1,428
82,0,438,1,1294
83,0,437,1,429
84,0,438,1,1294
85,0,438,1,1295
86,0,438,1,428
87,0,438,1,1294
88,0,437,1,1295
89,0,438,1,1295
90,0,437,1,1295
91,0,438,1,1294
92,0,438,1,428
93,0,438,1,428
94,0,438,1,1294
95,0,438,1,428
96,0,439,1,427
97,0,439,1,428
98,0,438,1,428
99,0,438,1,428
100,0,438,1,428
101,0,437,1,430
102,0,438,1,428
103,0,437,1,429
104,0,437,1,428
105,0,438,1,429
106,0,438,1,1294
107,0,438,1,428
108,0,439,1,428
109,0,437,1,429
110,0,437,1,429
111,0,438,1,1294
112,0,438,1,428
113,0,438,1,429
114,0,437,1,428
115,0,438,1,428
116,0,438,1,428
117,0,438,1,428
118,0,438,1,428
119,0,438,1,428
120,0,438,1,428
121,0,439,1,427
122,0,439,1,428
123,0,438,1,428
124,0,438,1,429
125,0,438,1,1293
126,0,439,1,428
127,0,438,1,428
128,0,438,1,428
129,0,438,1,428
130,0,439,1,427
131,0,439,1,1293
132,0,439,1,427
133,0,438,1,429
134,0,438,1,1294
135,0,439,1,1294
136,0,438,1,427
137,0,438,1,2746
138,0,3463,1,1726
139,0,439,1,1294
140,0,437,1,429
141,0,438,1,428
142,0,438,1,428
143,0,438,1,1294
144,0,438,1,428
145,0,438,1,428
146,0,438,1,429
147,0,437,1,429
148,0,438,1,1294
149,0,437,1,429
150,0,438,1,1294
151,0,438,1,1294
152,0,439,1,427
153,0,439,1,1293
154,0,439,1,1294
155,0,438,1,1294
156,0,439,1,1294
157,0,438,1,1294
158,0,438,1,428
159,0,438,1,428
160,0,438,1,1294
161,0,438,1,428
162,0,439,1,427
163,0,439,1,428
164,0,438,1,428
165,0,438,1,428
166,0,438,1,429
167,0,437,1,428
168,0,438,1,428
169,0,439,1,427
170,0,439,1,428
171,0,438,1,428
172,0,438,1,428
173,0,437,1,429
174,0,439,1,427
175,0,437,1,429
176,0,438,1,428
177,0,439,1,428
178,0,438,1,428
179,0,438,1,1294
180,0,437,1,429
181,0,438,1,428
182,0,437,1,1295
183,0,438,1,428
184,0,439,1,1294
185,0,438,1,427
186,0,439,1,428
187,0,438,1,428
188,0,438,1,428
189,0,439,1,427
190,0,439,1,427
191,0,439,1,428
192,0,438,1,427
193,0,439,1,1294
194,0,438,1,1294
195,0,438,1,429
196,0,438,1,427
197,0,439,1,428
198,0,438,1,428
199,0,439,1,427
200,0,438,1,428
201,0,439,1,427
202,0,439,1,427
203,0,439,1,428
204,0,438,1,428
205,0,438,1,428
206,0,438,1,428
207,0,438,1,428
208,0,438,1,1294
209,0,438,1,429
210,0,437,1,1295
211,0,438,1,427
212,0,439,1,428
213,0,438,1,428
214,0,439,1,426
215,0,440,1,427
216,0,439,1,428
217,0,438,1,428
218,0,438,1,427
219,0,439,1,428
220,0,438,1,427
221,0,440,1,426
222,0,439,1,427
223,0,440,1,426
224,0,439,1,427
225,0,439,1,427
226,0,439,1,427
227,0,440,1,427
228,0,439,1,1293
229,0,439,1,1293
230,0,439,1,428
231,0,438,1,428
232,0,439,1,426
233,0,440,1,427
234,0,439,1,427
235,0,439,1,426
236,0,440,1,427
237,0,439,1,427
238,0,440,1,426
239,0,440,1,426
240,0,440,1,1293
241,0,439,1,1293
242,0,439,1,427
243,0,439,1,427
244,0,439,1,428
245,0,438,1,428
246,0,439,1,427
247,0,439,1,426
248,0,440,1,428
249,0,439,1,426
250,0,439,1,427
251,0,440,1,426
252,0,439,1,427
253,0,439,1,428
254,0,439,1,427
255,0,438,1,428
