index,level0,duration0_us,level1,duration1_us
0,0,534,1,327
1,0,512,1,354
2,0,535,1,331
3,0,532,1,335
4,0,504,1,362
5,0,500,1,25056
6,0,3487,1,1729
7,0,436,1,1296
8,0,437,1,430
9,0,437,1,429
10,0,436,1,430
11,0,437,1,1296
12,0,436,1,429
13,0,437,1,430
14,0,436,1,430
15,0,436,1,430
16,0,436,1,1296
17,0,436,1,430
18,0,436,1,1297
19,0,436,1,1295
20,0,437,1,430
21,0,436,1,1297
22,0,435,1,1297
23,0,436,1,1296
24,0,436,1,1296
25,0,437,1,1295
26,0,437,1,429
27,0,436,1,430
28,0,437,1,1295
29,0,437,1,429
30,0,437,1,430
31,0,437,1,429
32,0,436,1,430
33,0,437,1,429
34,0,437,1,430
35,0,436,1,430
36,0,436,1,430
37,0,436,1,430
38,0,436,1,430
39,0,437,1,1295
40,0,437,1,429
41,0,437,1,1296
42,0,436,1,430
43,0,437,1,429
44,0,436,1,430
45,0,437,1,1295
46,0,437,1,1294
47,0,438,1,429
48,0,436,1,431
49,0,436,1,429
50,0,437,1,430
51,0,437,1,429
52,0,436,1,430
53,0,437,1,429
54,0,436,1,429
55,0,438,1,429
56,0,438,1,429
57,0,436,1,430
58,0,436,1,430
59,0,436,1,430
60,0,437,1,429
61,0,436,1,430
62,0,437,1,429
63,0,437,1,1295
64,0,437,1,1295
65,0,437,1,1296
66,0,436,1,430
67,0,437,1,1295
68,0,437,1,429
69,0,437,1,1296
70,0,437,1,1296
71,0,436,1,2746
72,0,3461,1,1727
73,0,438,1,1295
74,0,438,1,428
75,0,438,1,428
76,0,438,1,429
77,0,438,1,1294
78,0,437,1,429
79,0,438,1,428
80,0,438,1,428
81,0,437,1,429
82,0,438,1,1295
83,0,437,1,428
84,0,438,1,1295
85,0,438,1,1294
86,0,438,1,428
87,0,438,1,1294
88,0,438,1,1295
89,0,438,1,1294
90,0,437,1,1295
91,0,438,1,1295
92,0,438,1,427
93,0,439,1,427
94,0,438,1,1295
95,0,438,1,429
96,0,437,1,428
97,0,438,1,428
98,0,439,1,428
99,0,437,1,428
100,0,438,1,428
101,0,439,1,429
102,0,437,1,428
103,0,438,1,428
104,0,439,1,428
105,0,438,1,428
106,0,438,1,1294
107,0,438,1,428
108,0,438,1,428
109,0,438,1,427
110,0,438,1,429
111,0,438,1,1295
112,0,437,1,428
113,0,438,1,428
114,0,438,1,429
115,0,437,1,429
116,0,438,1,428
117,0,438,1,428
118,0,438,1,428
119,0,437,1,430
120,0,437,1,429
121,0,437,1,429
122,0,438,1,428
123,0,438,1,428
124,0,438,1,428
125,0,438,1,1294
126,0,438,1,428
127,0,439,1,427
128,0,438,1,429
129,0,439,1,426
130,0,439,1,428
131,0,438,1,1294
132,0,438,1,428
133,0,438,1,429
134,0,437,1,1294
135,0,440,1,1292
136,0,439,1,428
137,0,438,1,2745
138,0,3463,1,1726
139,0,439,1,1294
140,0,438,1,428
141,0,438,1,429
142,0,437,1,428
143,0,439,1,1293
144,0,439,1,428
145,0,438,1,427
146,0,439,1,428
147,0,438,1,427
148,0,439,1,1294
149,0,438,1,428
150,0,439,1,1293
151,0,438,1,1294
152,0,439,1,428
153,0,438,1,1294
154,0,438,1,1294
155,0,439,1,1293
156,0,439,1,1293
157,0,439,1,1294
158,0,439,1,427
159,0,438,1,428
160,0,439,1,1293
161,0,440,1,427
162,0,438,1,428
163,0,439,1,427
164,0,438,1,428
165,0,438,1,428
166,0,438,1,428
167,0,439,1,428
168,0,438,1,427
169,0,438,1,429
170,0,438,1,428
171,0,439,1,427
172,0,439,1,426
173,0,440,1,427
174,0,438,1,428
175,0,439,1,428
176,0,438,1,427
177,0,438,1,429
178,0,438,1,427
179,0,440,1,1293
180,0,438,1,428
181,0,438,1,428
182,0,439,1,1293
183,0,439,1,428
184,0,437,1,1294
185,0,440,1,1293
186,0,439,1,427
187,0,439,1,428
188,0,438,1,1294
189,0,438,1,428
190,0,438,1,428
191,0,438,1,1295
192,0,437,1,1294
193,0,439,1,427
194,0,439,1,428
195,0,438,1,428
196,0,438,1,428
197,0,438,1,428
198,0,438,1,428
199,0,439,1,427
200,0,439,1,428
201,0,438,1,428
202,0,438,1,428
203,0,438,1,428
204,0,438,1,428
205,0,439,1,427
206,0,439,1,427
207,0,439,1,1293
208,0,439,1,428
209,0,438,1,1294
210,0,439,1,427
211,0,439,1,427
212,0,439,1,427
213,0,439,1,427
214,0,439,1,427
215,0,439,1,427
216,0,439,1,427
217,0,439,1,428
218,0,438,1,428
219,0,439,1,426
220,0,440,1,426
221,0,440,1,426
222,0,439,1,428
223,0,439,1,427
224,0,439,1,426
225,0,440,1,427
226,0,439,1,427
227,0,439,1,427
228,0,439,1,1293
229,0,440,1,1293
230,0,439,1,427
231,0,439,1,426
232,0,440,1,427
233,0,440,1,426
234,0,440,1,426
235,0,440,1,426
236,0,439,1,427
237,0,440,1,427
238,0,439,1,427
239,0,439,1,427
240,0,439,1,1293
241,0,439,1,1293
242,0,440,1,427
243,0,439,1,427
244,0,439,1,427
245,0,438,1,428
246,0,439,1,427
247,0,440,1,426
248,0,440,1,426
249,0,439,1,428
250,0,439,1,427
251,0,439,1,427
252,0,439,1,427
253,0,439,1,427
254,0,440,1,426
255,0,439,1,427
