index,level0,duration0_us,level1,duration1_us
0,0,538,1,324
1,0,538,1,328
2,0,508,1,358
3,0,506,1,361
4,0,502,1,387
5,0,475,1,25076
6,0,3469,1,1730
7,0,436,1,1296
8,0,436,1,430
9,0,436,1,430
10,0,436,1,430
11,0,437,1,1296
12,0,436,1,429
13,0,437,1,430
14,0,436,1,431
15,0,435,1,430
16,0,436,1,1296
17,0,438,1,428
18,0,436,1,1296
19,0,437,1,1296
20,0,436,1,430
21,0,437,1,1295
22,0,436,1,1296
23,0,437,1,1296
24,0,436,1,1296
25,0,436,1,1296
26,0,436,1,430
27,0,437,1,429
28,0,437,1,1295
29,0,437,1,430
30,0,436,1,429
31,0,437,1,431
32,0,435,1,430
33,0,436,1,431
34,0,435,1,430
35,0,436,1,431
36,0,436,1,429
37,0,437,1,430
38,0,436,1,430
39,0,436,1,1296
40,0,437,1,429
41,0,437,1,1296
42,0,436,1,430
43,0,436,1,430
44,0,436,1,430
45,0,436,1,1296
46,0,437,1,1294
47,0,438,1,429
48,0,437,1,429
49,0,437,1,429
50,0,437,1,430
51,0,436,1,430
52,0,436,1,430
53,0,436,1,431
54,0,436,1,429
55,0,437,1,429
56,0,437,1,430
57,0,436,1,430
58,0,436,1,430
59,0,437,1,429
60,0,436,1,430
61,0,437,1,429
62,0,437,1,429
63,0,437,1,1295
64,0,437,1,1296
65,0,436,1,1295
66,0,437,1,430
67,0,437,1,1295
68,0,437,1,429
69,0,437,1,1295
70,0,438,1,1295
71,0,437,1,2744
72,0,3463,1,1727
73,0,438,1,1295
74,0,438,1,428
75,0,437,1,429
76,0,438,1,428
77,0,438,1,1295
78,0,436,1,429
79,0,439,1,427
80,0,439,1,427
81,0,439,1,428
82,0,438,1,1294
83,0,438,1,428
84,0,438,1,1293
85,0,440,1,1294
86,0,437,1,429
87,0,438,1,1295
88,0,437,1,1295
89,0,437,1,1294
90,0,438,1,1294
91,0,439,1,1294
92,0,438,1,428
93,0,438,1,428
94,0,438,1,1295
95,0,437,1,429
96,0,437,1,429
97,0,437,1,430
98,0,437,1,429
99,0,437,1,428
100,0,438,1,429
101,0,437,1,428
102,0,438,1,429
103,0,437,1,430
104,0,436,1,429
105,0,438,1,429
106,0,437,1,1294
107,0,437,1,429
108,0,438,1,429
109,0,437,1,428
110,0,438,1,428
111,0,439,1,1294
112,0,438,1,427
113,0,438,1,429
114,0,438,1,428
115,0,438,1,429
116,0,437,1,428
117,0,437,1,430
118,0,437,1,429
119,0,437,1,429
120,0,439,1,428
121,0,436,1,429
122,0,438,1,428
123,0,437,1,429
124,0,438,1,428
125,0,438,1,1295
126,0,437,1,429
127,0,437,1,430
128,0,437,1,428
129,0,437,1,429
130,0,438,1,430
131,0,436,1,1295
132,0,437,1,428
133,0,438,1,430
134,0,437,1,1293
135,0,439,1,1294
136,0,439,1,428
137,0,437,1,2746
138,0,3462,1,1727
139,0,438,1,1293
140,0,439,1,428
141,0,439,1,427
142,0,439,1,427
143,0,439,1,1293
144,0,438,1,429
145,0,439,1,427
146,0,439,1,427
147,0,439,1,427
148,0,439,1,1294
149,0,438,1,427
150,0,438,1,1295
151,0,438,1,1294
152,0,439,1,427
153,0,438,1,1294
154,0,439,1,1294
155,0,438,1,1294
156,0,438,1,1294
157,0,439,1,1293
158,0,439,1,428
159,0,438,1,428
160,0,438,1,1295
161,0,438,1,427
162,0,439,1,427
163,0,438,1,428
164,0,438,1,429
165,0,438,1,427
166,0,439,1,428
167,0,438,1,427
168,0,439,1,427
169,0,439,1,429
170,0,438,1,427
171,0,439,1,427
172,0,439,1,427
173,0,439,1,427
174,0,439,1,427
175,0,439,1,428
176,0,437,1,429
177,0,438,1,428
178,0,439,1,427
179,0,439,1,1293
180,0,439,1,427
181,0,439,1,427
182,0,439,1,1294
183,0,439,1,1293
184,0,439,1,1293
185,0,439,1,427
186,0,439,1,428
187,0,438,1,428
188,0,439,1,427
189,0,438,1,1294
190,0,439,1,1293
191,0,439,1,428
192,0,437,1,1294
193,0,439,1,428
194,0,439,1,427
195,0,439,1,427
196,0,439,1,427
197,0,439,1,428
198,0,438,1,427
199,0,439,1,427
200,0,439,1,428
201,0,439,1,427
202,0,438,1,427
203,0,440,1,427
204,0,438,1,429
205,0,437,1,428
206,0,440,1,426
207,0,439,1,1294
208,0,439,1,1293
209,0,439,1,427
210,0,440,1,1292
211,0,439,1,427
212,0,440,1,426
213,0,440,1,427
214,0,439,1,427
215,0,439,1,427
216,0,439,1,427
217,0,439,1,427
218,0,439,1,426
219,0,439,1,428
220,0,439,1,426
221,0,440,1,427
222,0,439,1,427
223,0,439,1,427
224,0,439,1,427
225,0,439,1,427
226,0,439,1,427
227,0,439,1,427
228,0,439,1,1293
229,0,439,1,1294
230,0,439,1,428
231,0,439,1,426
232,0,439,1,428
233,0,439,1,426
234,0,440,1,426
235,0,440,1,427
236,0,439,1,427
237,0,439,1,427
238,0,440,1,426
239,0,439,1,427
240,0,439,1,1293
241,0,440,1,1293
242,0,439,1,427
243,0,439,1,427
244,0,439,1,427
245,0,440,1,426
246,0,439,1,427
247,0,440,1,427
248,0,438,1,428
249,0,439,1,427
250,0,440,1,426
251,0,439,1,427
252,0,439,1,427
253,0,439,1,427
254,0,439,1,427
255,0,439,1,427
