index,level0,duration0_us,level1,duration1_us
0,0,537,1,324
1,0,540,1,326
2,0,509,1,357
3,0,506,1,360
4,0,503,1,365
5,0,498,1,25058
6,0,3486,1,1730
7,0,436,1,1296
8,0,437,1,429
9,0,437,1,429
10,0,437,1,430
11,0,436,1,1296
12,0,436,1,430
13,0,436,1,430
14,0,437,1,430
15,0,435,1,430
16,0,437,1,1296
17,0,436,1,429
18,0,437,1,1296
19,0,436,1,1296
20,0,436,1,431
21,0,436,1,1295
22,0,436,1,1297
23,0,436,1,1297
24,0,436,1,1295
25,0,436,1,1297
26,0,436,1,430
27,0,436,1,430
28,0,435,1,1297
29,0,437,1,429
30,0,437,1,429
31,0,437,1,429
32,0,437,1,429
33,0,436,1,431
34,0,436,1,430
35,0,436,1,430
36,0,436,1,430
37,0,436,1,430
38,0,436,1,430
39,0,437,1,1295
40,0,437,1,429
41,0,437,1,1296
42,0,436,1,430
43,0,436,1,431
44,0,435,1,430
45,0,437,1,1295
46,0,437,1,1295
47,0,437,1,430
48,0,437,1,428
49,0,436,1,431
50,0,437,1,430
51,0,436,1,430
52,0,436,1,430
53,0,435,1,430
54,0,437,1,430
55,0,437,1,429
56,0,436,1,430
57,0,436,1,429
58,0,438,1,429
59,0,436,1,430
60,0,437,1,429
61,0,437,1,430
62,0,436,1,430
63,0,436,1,1296
64,0,437,1,1295
65,0,437,1,1296
66,0,436,1,430
67,0,436,1,1296
68,0,436,1,429
69,0,437,1,1296
70,0,436,1,1297
71,0,436,1,2745
72,0,3463,1,1727
73,0,438,1,1295
74,0,437,1,429
75,0,437,1,430
76,0,436,1,429
77,0,437,1,1294
78,0,438,1,429
79,0,437,1,430
80,0,437,1,429
81,0,437,1,429
82,0,438,1,1295
83,0,437,1,428
84,0,438,1,1293
85,0,439,1,1294
86,0,438,1,428
87,0,438,1,1294
88,0,438,1,1294
89,0,438,1,1295
90,0,437,1,1296
91,0,437,1,1295
92,0,437,1,428
93,0,438,1,430
94,0,436,1,1295
95,0,438,1,429
96,0,437,1,429
97,0,437,1,428
98,0,438,1,430
99,0,436,1,429
100,0,437,1,429
101,0,437,1,430
102,0,436,1,428
103,0,439,1,428
104,0,437,1,429
105,0,437,1,429
106,0,438,1,1295
107,0,437,1,429
108,0,437,1,430
109,0,437,1,428
110,0,437,1,429
111,0,438,1,1294
112,0,438,1,429
113,0,437,1,429
114,0,437,1,428
115,0,439,1,429
116,0,437,1,429
117,0,436,1,430
118,0,436,1,429
119,0,439,1,429
120,0,436,1,428
121,0,438,1,428
122,0,438,1,428
123,0,438,1,430
124,0,436,1,430
125,0,436,1,1295
126,0,438,1,428
127,0,438,1,429
128,0,437,1,429
129,0,438,1,429
130,0,436,1,429
131,0,438,1,1294
132,0,438,1,428
133,0,438,1,429
134,0,437,1,1294
135,0,438,1,1296
136,0,437,1,429
137,0,437,1,2745
138,0,3461,1,1728
139,0,438,1,1294
140,0,438,1,429
141,0,438,1,428
142,0,437,1,429
143,0,438,1,1294
144,0,438,1,428
145,0,438,1,428
146,0,439,1,427
147,0,438,1,429
148,0,438,1,1293
149,0,439,1,428
150,0,437,1,1296
151,0,437,1,1294
152,0,439,1,427
153,0,439,1,1294
154,0,438,1,1294
155,0,439,1,1293
156,0,438,1,1294
157,0,439,1,1294
158,0,437,1,429
159,0,438,1,428
160,0,438,1,1296
161,0,436,1,429
162,0,438,1,428
163,0,437,1,428
164,0,439,1,428
165,0,438,1,427
166,0,439,1,428
167,0,438,1,428
168,0,438,1,428
169,0,438,1,428
170,0,439,1,428
171,0,438,1,428
172,0,437,1,429
173,0,438,1,428
174,0,437,1,429
175,0,438,1,428
176,0,438,1,428
177,0,439,1,428
178,0,438,1,428
179,0,437,1,1295
180,0,438,1,428
181,0,438,1,428
182,0,438,1,1295
183,0,437,1,1295
184,0,438,1,1294
185,0,439,1,427
186,0,438,1,428
187,0,438,1,429
188,0,437,1,429
189,0,437,1,1294
190,0,439,1,1295
191,0,437,1,428
192,0,438,1,1294
193,0,438,1,428
194,0,438,1,428
195,0,439,1,427
196,0,439,1,428
197,0,438,1,428
198,0,438,1,427
199,0,439,1,428
200,0,438,1,428
201,0,438,1,428
202,0,439,1,427
203,0,439,1,427
204,0,439,1,428
205,0,438,1,427
206,0,439,1,428
207,0,438,1,1294
208,0,439,1,1294
209,0,438,1,427
210,0,439,1,1294
211,0,437,1,429
212,0,439,1,426
213,0,440,1,427
214,0,439,1,427
215,0,438,1,429
216,0,439,1,426
217,0,439,1,427
218,0,439,1,427
219,0,439,1,428
220,0,438,1,427
221,0,439,1,427
222,0,440,1,426
223,0,440,1,426
224,0,439,1,428
225,0,439,1,427
226,0,439,1,426
227,0,439,1,428
228,0,439,1,1293
229,0,440,1,1292
230,0,439,1,427
231,0,439,1,427
232,0,440,1,427
233,0,439,1,427
234,0,439,1,427
235,0,439,1,427
236,0,439,1,427
237,0,439,1,427
238,0,439,1,428
239,0,439,1,427
240,0,439,1,1293
241,0,438,1,1294
242,0,439,1,427
243,0,439,1,427
244,0,439,1,427
245,0,439,1,429
246,0,438,1,426
247,0,439,1,428
248,0,439,1,427
249,0,438,1,428
250,0,439,1,427
251,0,439,1,427
252,0,439,1,428
253,0,439,1,427
254,0,438,1,427
255,0,439,1,428
