index,level0,duration0_us,level1,duration1_us
0,0,535,1,326
1,0,512,1,354
2,0,535,1,330
3,0,509,1,358
4,0,505,1,361
5,0,501,1,25056
6,0,3487,1,1730
7,0,436,1,1295
8,0,437,1,430
9,0,437,1,429
10,0,436,1,429
11,0,438,1,1295
12,0,436,1,431
13,0,435,1,431
14,0,436,1,430
15,0,435,1,431
16,0,436,1,1295
17,0,437,1,429
18,0,438,1,1295
19,0,437,1,1295
20,0,437,1,430
21,0,437,1,1295
22,0,436,1,1297
23,0,436,1,1295
24,0,437,1,1295
25,0,437,1,1296
26,0,436,1,430
27,0,436,1,430
28,0,436,1,1296
29,0,437,1,430
30,0,435,1,430
31,0,437,1,429
32,0,438,1,429
33,0,436,1,430
34,0,436,1,430
35,0,437,1,429
36,0,436,1,430
37,0,437,1,429
38,0,437,1,429
39,0,436,1,1297
40,0,436,1,430
41,0,436,1,1296
42,0,436,1,429
43,0,438,1,429
44,0,437,1,429
45,0,437,1,1296
46,0,436,1,1296
47,0,437,1,428
48,0,437,1,430
49,0,437,1,429
50,0,436,1,431
51,0,436,1,429
52,0,437,1,429
53,0,437,1,428
54,0,438,1,429
55,0,437,1,430
56,0,436,1,430
57,0,437,1,429
58,0,437,1,429
59,0,437,1,429
60,0,437,1,429
61,0,437,1,430
62,0,437,1,428
63,0,438,1,1295
64,0,437,1,1294
65,0,438,1,1294
66,0,439,1,429
67,0,437,1,1295
68,0,436,1,430
69,0,437,1,1296
70,0,437,1,1295
71,0,436,1,2746
72,0,3462,1,1727
73,0,438,1,1294
74,0,438,1,428
75,0,438,1,428
76,0,439,1,427
77,0,439,1,1294
78,0,439,1,427
79,0,438,1,428
80,0,438,1,428
81,0,439,1,427
82,0,438,1,1294
83,0,439,1,428
84,0,439,1,1293
85,0,438,1,1294
86,0,439,1,428
87,0,438,1,1295
88,0,436,1,1294
89,0,438,1,1295
90,0,438,1,1294
91,0,438,1,1295
92,0,437,1,429
93,0,437,1,429
94,0,438,1,1294
95,0,438,1,428
96,0,439,1,428
97,0,437,1,428
98,0,438,1,429
99,0,438,1,428
100,0,438,1,427
101,0,440,1,427
102,0,438,1,428
103,0,438,1,428
104,0,438,1,428
105,0,438,1,428
106,0,438,1,1295
107,0,438,1,428
108,0,438,1,428
109,0,438,1,428
110,0,438,1,428
111,0,438,1,1294
112,0,438,1,428
113,0,438,1,428
114,0,438,1,429
115,0,437,1,429
116,0,438,1,428
117,0,439,1,427
118,0,438,1,428
119,0,439,1,427
120,0,439,1,427
121,0,440,1,426
122,0,438,1,429
123,0,438,1,428
124,0,438,1,428
125,0,438,1,1294
126,0,438,1,428
127,0,438,1,429
128,0,437,1,428
129,0,438,1,428
130,0,439,1,428
131,0,438,1,1294
132,0,439,1,427
133,0,438,1,428
134,0,439,1,1295
135,0,436,1,1295
136,0,439,1,427
137,0,438,1,2744
138,0,3463,1,1727
139,0,439,1,1294
140,0,438,1,428
141,0,437,1,429
142,0,439,1,427
143,0,439,1,1293
144,0,438,1,428
145,0,439,1,427
146,0,439,1,428
147,0,438,1,428
148,0,439,1,1293
149,0,439,1,427
150,0,438,1,1294
151,0,439,1,1294
152,0,438,1,428
153,0,438,1,1294
154,0,438,1,1294
155,0,439,1,1294
156,0,437,1,1294
157,0,439,1,1294
158,0,438,1,428
159,0,438,1,428
160,0,438,1,1295
161,0,438,1,428
162,0,438,1,428
163,0,439,1,427
164,0,438,1,428
165,0,439,1,427
166,0,438,1,428
167,0,439,1,427
168,0,439,1,428
169,0,438,1,427
170,0,439,1,429
171,0,437,1,428
172,0,438,1,428
173,0,439,1,427
174,0,439,1,427
175,0,439,1,428
176,0,438,1,428
177,0,438,1,428
178,0,438,1,428
179,0,438,1,1294
180,0,438,1,428
181,0,438,1,428
182,0,438,1,1294
183,0,439,1,1294
184,0,438,1,1294
185,0,439,1,427
186,0,438,1,428
187,0,439,1,427
188,0,439,1,427
189,0,439,1,1293
190,0,440,1,1292
191,0,439,1,428
192,0,439,1,1293
193,0,438,1,428
194,0,438,1,428
195,0,439,1,428
196,0,438,1,428
197,0,438,1,428
198,0,439,1,427
199,0,439,1,427
200,0,439,1,427
201,0,439,1,428
202,0,438,1,428
203,0,438,1,427
204,0,440,1,427
205,0,439,1,427
206,0,439,1,427
207,0,439,1,1293
208,0,439,1,1293
209,0,440,1,426
210,0,441,1,1292
211,0,439,1,427
212,0,439,1,427
213,0,440,1,426
214,0,439,1,427
215,0,439,1,427
216,0,439,1,428
217,0,438,1,427
218,0,440,1,426
219,0,439,1,427
220,0,439,1,428
221,0,438,1,428
222,0,439,1,426
223,0,440,1,426
224,0,440,1,426
225,0,440,1,426
226,0,440,1,427
227,0,440,1,426
228,0,439,1,1294
229,0,439,1,1292
230,0,441,1,426
231,0,439,1,427
232,0,439,1,427
233,0,439,1,427
234,0,438,1,428
235,0,439,1,427
236,0,439,1,427
237,0,440,1,427
238,0,438,1,428
239,0,439,1,426
240,0,440,1,1293
241,0,439,1,1294
242,0,438,1,428
243,0,439,1,427
244,0,439,1,426
245,0,440,1,427
246,0,439,1,427
247,0,439,1,427
248,0,440,1,426
249,0,439,1,427
250,0,439,1,428
251,0,439,1,426
252,0,439,1,427
253,0,440,1,427
254,0,439,1,427
255,0,439,1,427
