index,level0,duration0_us,level1,duration1_us
0,0,534,1,327
1,0,513,1,353
2,0,535,1,331
3,0,508,1,358
4,0,504,1,362
5,0,501,1,25056
6,0,3487,1,1729
7,0,436,1,1296
8,0,437,1,429
9,0,438,1,429
10,0,436,1,430
11,0,436,1,1296
12,0,437,1,429
13,0,437,1,430
14,0,436,1,430
15,0,436,1,429
16,0,437,1,1296
17,0,436,1,430
18,0,437,1,1295
19,0,437,1,1296
20,0,436,1,429
21,0,436,1,1297
22,0,437,1,1295
23,0,436,1,1296
24,0,437,1,1296
25,0,436,1,1296
26,0,436,1,430
27,0,437,1,429
28,0,437,1,1295
29,0,437,1,429
30,0,436,1,431
31,0,436,1,430
32,0,436,1,429
33,0,437,1,430
34,0,436,1,429
35,0,438,1,429
36,0,437,1,429
37,0,436,1,430
38,0,437,1,429
39,0,437,1,1295
40,0,437,1,430
41,0,436,1,1296
42,0,436,1,430
43,0,438,1,429
44,0,436,1,429
45,0,436,1,1297
46,0,436,1,1296
47,0,436,1,430
48,0,437,1,429
49,0,437,1,430
50,0,437,1,428
51,0,437,1,430
52,0,437,1,428
53,0,438,1,428
54,0,438,1,429
55,0,436,1,431
56,0,436,1,429
57,0,438,1,428
58,0,437,1,429
59,0,437,1,429
60,0,437,1,429
61,0,437,1,430
62,0,437,1,429
63,0,436,1,1295
64,0,438,1,1295
65,0,437,1,1296
66,0,436,1,430
67,0,437,1,1293
68,0,439,1,428
69,0,438,1,1295
70,0,437,1,1296
71,0,437,1,2745
72,0,3461,1,1729
73,0,436,1,1296
74,0,438,1,427
75,0,439,1,428
76,0,438,1,428
77,0,437,1,1295
78,0,437,1,429
79,0,438,1,428
80,0,438,1,428
81,0,438,1,429
82,0,437,1,1294
83,0,438,1,429
84,0,437,1,1296
85,0,437,1,1294
86,0,439,1,427
87,0,438,1,1296
88,0,437,1,1294
89,0,438,1,1294
90,0,438,1,1294
91,0,438,1,1294
92,0,439,1,427
93,0,439,1,428
94,0,437,1,1296
95,0,437,1,428
96,0,438,1,429
97,0,437,1,429
98,0,438,1,428
99,0,438,1,429
100,0,437,1,428
101,0,438,1,428
102,0,438,1,428
103,0,437,1,429
104,0,438,1,428
105,0,439,1,427
106,0,438,1,1295
107,0,437,1,428
108,0,439,1,428
109,0,438,1,428
110,0,438,1,428
111,0,438,1,1295
112,0,437,1,429
113,0,438,1,428
114,0,437,1,430
115,0,437,1,428
116,0,438,1,428
117,0,438,1,429
118,0,437,1,428
119,0,438,1,428
120,0,438,1,429
121,0,437,1,429
122,0,438,1,428
123,0,438,1,428
124,0,438,1,428
125,0,438,1,1294
126,0,438,1,428
127,0,439,1,427
128,0,438,1,429
129,0,438,1,428
130,0,438,1,428
131,0,438,1,1294
132,0,438,1,429
133,0,437,1,428
134,0,438,1,1294
135,0,439,1,1295
136,0,437,1,429
137,0,438,1,2743
138,0,3464,1,1726
139,0,439,1,1294
140,0,438,1,428
141,0,438,1,428
142,0,438,1,428
143,0,438,1,1294
144,0,439,1,427
145,0,439,1,428
146,0,437,1,428
147,0,439,1,428
148,0,438,1,1294
149,0,438,1,428
150,0,438,1,1294
151,0,438,1,1294
152,0,439,1,427
153,0,438,1,1294
154,0,439,1,1294
155,0,439,1,1293
156,0,439,1,1293
157,0,439,1,1294
158,0,438,1,428
159,0,438,1,429
160,0,438,1,1293
161,0,439,1,427
162,0,439,1,427
163,0,439,1,428
164,0,438,1,429
165,0,437,1,428
166,0,439,1,428
167,0,437,1,428
168,0,439,1,427
169,0,439,1,427
170,0,439,1,428
171,0,438,1,428
172,0,438,1,427
173,0,439,1,428
174,0,439,1,427
175,0,438,1,428
176,0,439,1,427
177,0,439,1,427
178,0,439,1,428
179,0,439,1,1293
180,0,438,1,428
181,0,438,1,429
182,0,437,1,1295
183,0,438,1,1293
184,0,439,1,1293
185,0,440,1,427
186,0,439,1,427
187,0,439,1,428
188,0,438,1,428
189,0,438,1,1293
190,0,439,1,1294
191,0,438,1,428
192,0,438,1,1294
193,0,439,1,428
194,0,438,1,428
195,0,439,1,426
196,0,439,1,428
197,0,439,1,427
198,0,439,1,427
199,0,439,1,427
200,0,439,1,427
201,0,439,1,427
202,0,439,1,428
203,0,439,1,427
204,0,439,1,427
205,0,438,1,428
206,0,439,1,427
207,0,439,1,1294
208,0,437,1,1294
209,0,439,1,428
210,0,439,1,1293
211,0,439,1,426
212,0,440,1,427
213,0,439,1,427
214,0,439,1,427
215,0,439,1,428
216,0,439,1,427
217,0,439,1,427
218,0,439,1,426
219,0,439,1,427
220,0,439,1,427
221,0,440,1,426
222,0,440,1,426
223,0,440,1,426
224,0,440,1,426
225,0,441,1,426
226,0,439,1,426
227,0,440,1,427
228,0,438,1,1294
229,0,440,1,1292
230,0,439,1,427
231,0,440,1,428
232,0,438,1,427
233,0,440,1,426
234,0,439,1,427
235,0,439,1,428
236,0,438,1,427
237,0,440,1,427
238,0,438,1,428
239,0,439,1,427
240,0,440,1,1292
241,0,439,1,1293
242,0,439,1,427
243,0,440,1,426
244,0,440,1,426
245,0,440,1,427
246,0,438,1,428
247,0,439,1,427
248,0,439,1,1293
249,0,439,1,427
250,0,439,1,427
251,0,439,1,428
252,0,439,1,427
253,0,439,1,427
254,0,439,1,426
255,0,440,1,427
