index,level0,duration0_us,level1,duration1_us
0,0,535,1,326
1,0,513,1,353
2,0,535,1,331
3,0,531,1,335
4,0,505,1,362
5,0,500,1,25056
6,0,3487,1,1729
7,0,437,1,1296
8,0,436,1,429
9,0,438,1,429
10,0,437,1,429
11,0,437,1,1295
12,0,438,1,429
13,0,436,1,430
14,0,437,1,428
15,0,438,1,429
16,0,436,1,1296
17,0,437,1,429
18,0,437,1,1296
19,0,436,1,1296
20,0,436,1,430
21,0,436,1,1296
22,0,437,1,1295
23,0,437,1,1295
24,0,437,1,1296
25,0,436,1,1295
26,0,438,1,429
27,0,437,1,430
28,0,435,1,1297
29,0,436,1,429
30,0,437,1,430
31,0,436,1,430
32,0,437,1,429
33,0,437,1,429
34,0,436,1,431
35,0,436,1,430
36,0,436,1,430
37,0,436,1,430
38,0,435,1,431
39,0,436,1,1296
40,0,437,1,429
41,0,437,1,1296
42,0,436,1,429
43,0,437,1,429
44,0,438,1,428
45,0,437,1,1296
46,0,437,1,1295
47,0,437,1,430
48,0,437,1,429
49,0,436,1,430
50,0,436,1,428
51,0,439,1,429
52,0,436,1,430
53,0,437,1,429
54,0,437,1,429
55,0,437,1,429
56,0,437,1,430
57,0,436,1,430
58,0,437,1,429
59,0,436,1,430
60,0,437,1,429
61,0,436,1,430
62,0,437,1,429
63,0,437,1,1296
64,0,436,1,1296
65,0,436,1,1296
66,0,437,1,429
67,0,437,1,1295
68,0,437,1,429
69,0,437,1,1296
70,0,437,1,1295
71,0,437,1,2744
72,0,3463,1,1727
73,0,439,1,1293
74,0,439,1,428
75,0,438,1,428
76,0,438,1,428
77,0,438,1,1294
78,0,438,1,428
79,0,438,1,428
80,0,439,1,429
81,0,436,1,428
82,0,439,1,1294
83,0,438,1,428
84,0,438,1,1294
85,0,439,1,1295
86,0,436,1,429
87,0,438,1,1295
88,0,437,1,1294
89,0,439,1,1294
90,0,438,1,1294
91,0,437,1,1294
92,0,439,1,428
93,0,438,1,428
94,0,439,1,1293
95,0,438,1,429
96,0,438,1,427
97,0,438,1,429
98,0,438,1,428
99,0,439,1,427
100,0,438,1,428
101,0,438,1,428
102,0,438,1,428
103,0,439,1,428
104,0,438,1,427
105,0,439,1,427
106,0,439,1,1294
107,0,438,1,428
108,0,438,1,428
109,0,438,1,429
110,0,438,1,428
111,0,437,1,1294
112,0,439,1,428
113,0,438,1,428
114,0,438,1,428
115,0,438,1,430
116,0,436,1,428
117,0,439,1,428
118,0,438,1,427
119,0,438,1,429
120,0,437,1,429
121,0,439,1,427
122,0,438,1,428
123,0,438,1,428
124,0,438,1,428
125,0,438,1,1294
126,0,438,1,429
127,0,438,1,428
128,0,438,1,428
129,0,438,1,428
130,0,438,1,428
131,0,439,1,1293
132,0,439,1,428
133,0,438,1,428
134,0,438,1,1294
135,0,439,1,1294
136,0,437,1,428
137,0,439,1,2744
138,0,3463,1,1727
139,0,438,1,1294
140,0,439,1,428
141,0,437,1,429
142,0,437,1,428
143,0,438,1,1294
144,0,439,1,428
145,0,438,1,428
146,0,438,1,428
147,0,439,1,427
148,0,438,1,1295
149,0,438,1,428
150,0,437,1,1295
151,0,439,1,1293
152,0,438,1,428
153,0,439,1,1293
154,0,439,1,1294
155,0,438,1,1294
156,0,438,1,1294
157,0,438,1,1295
158,0,438,1,428
159,0,438,1,427
160,0,438,1,1294
161,0,439,1,429
162,0,438,1,427
163,0,438,1,428
164,0,438,1,428
165,0,438,1,428
166,0,439,1,428
167,0,437,1,429
168,0,438,1,428
169,0,438,1,427
170,0,439,1,428
171,0,438,1,428
172,0,438,1,428
173,0,438,1,428
174,0,439,1,428
175,0,438,1,428
176,0,437,1,429
177,0,438,1,427
178,0,439,1,428
179,0,438,1,1293
180,0,439,1,428
181,0,439,1,428
182,0,438,1,1294
183,0,438,1,1294
184,0,438,1,1294
185,0,439,1,427
186,0,439,1,428
187,0,438,1,428
188,0,438,1,428
189,0,438,1,1294
190,0,439,1,1294
191,0,437,1,429
192,0,438,1,1294
193,0,439,1,427
194,0,438,1,428
195,0,439,1,427
196,0,438,1,428
197,0,439,1,427
198,0,439,1,427
199,0,439,1,427
200,0,439,1,427
201,0,439,1,428
202,0,439,1,427
203,0,438,1,428
204,0,438,1,428
205,0,439,1,427
206,0,440,1,426
207,0,439,1,1293
208,0,439,1,1294
209,0,439,1,427
210,0,438,1,1295
211,0,438,1,427
212,0,439,1,427
213,0,439,1,428
214,0,438,1,428
215,0,438,1,428
216,0,439,1,427
217,0,439,1,427
218,0,439,1,427
219,0,438,1,428
220,0,439,1,427
221,0,438,1,428
222,0,439,1,427
223,0,439,1,427
224,0,439,1,427
225,0,439,1,427
226,0,439,1,427
227,0,439,1,427
228,0,439,1,1293
229,0,440,1,1292
230,0,440,1,427
231,0,439,1,427
232,0,440,1,426
233,0,439,1,428
234,0,439,1,426
235,0,439,1,427
236,0,440,1,427
237,0,439,1,427
238,0,440,1,426
239,0,439,1,427
240,0,440,1,1292
241,0,440,1,1293
242,0,438,1,428
243,0,439,1,427
244,0,439,1,427
245,0,440,1,426
246,0,439,1,428
247,0,439,1,426
248,0,439,1,427
249,0,439,1,428
250,0,439,1,427
251,0,439,1,427
252,0,439,1,427
253,0,439,1,428
254,0,438,1,428
255,0,438,1,427
