index,level0,duration0_us,level1,duration1_us
0,0,537,1,325
1,0,538,1,328
2,0,509,1,357
3,0,507,1,358
4,0,505,1,363
5,0,500,1,25056
6,0,3486,1,1730
7,0,436,1,1296
8,0,437,1,429
9,0,437,1,429
10,0,437,1,429
11,0,437,1,1295
12,0,438,1,429
13,0,436,1,430
14,0,437,1,429
15,0,437,1,430
16,0,436,1,1296
17,0,436,1,430
18,0,436,1,1296
19,0,437,1,1295
20,0,436,1,430
21,0,437,1,1296
22,0,436,1,1295
23,0,437,1,1296
24,0,436,1,1296
25,0,437,1,1295
26,0,437,1,429
27,0,437,1,430
28,0,436,1,1296
29,0,437,1,429
30,0,436,1,430
31,0,436,1,431
32,0,436,1,429
33,0,437,1,430
34,0,436,1,429
35,0,438,1,429
36,0,437,1,429
37,0,436,1,430
38,0,437,1,429
39,0,437,1,1295
40,0,437,1,429
41,0,437,1,1295
42,0,438,1,429
43,0,436,1,430
44,0,437,1,428
45,0,437,1,1296
46,0,437,1,1296
47,0,436,1,430
48,0,436,1,430
49,0,435,1,431
50,0,436,1,431
51,0,436,1,429
52,0,436,1,430
53,0,437,1,429
54,0,437,1,429
55,0,437,1,429
56,0,437,1,430
57,0,437,1,429
58,0,437,1,428
59,0,438,1,429
60,0,437,1,430
61,0,436,1,430
62,0,436,1,430
63,0,436,1,1296
64,0,436,1,1296
65,0,437,1,1295
66,0,437,1,429
67,0,437,1,1295
68,0,438,1,429
69,0,436,1,1296
70,0,436,1,1296
71,0,437,1,2746
72,0,3462,1,1727
73,0,438,1,1294
74,0,438,1,429
75,0,437,1,428
76,0,438,1,428
77,0,438,1,1294
78,0,438,1,429
79,0,438,1,428
80,0,438,1,428
81,0,438,1,428
82,0,438,1,1294
83,0,438,1,428
84,0,439,1,1293
85,0,439,1,1295
86,0,437,1,429
87,0,437,1,1294
88,0,438,1,1294
89,0,439,1,1295
90,0,437,1,1294
91,0,438,1,1293
92,0,439,1,429
93,0,438,1,427
94,0,438,1,1296
95,0,437,1,428
96,0,438,1,427
97,0,439,1,428
98,0,439,1,428
99,0,438,1,428
100,0,438,1,428
101,0,437,1,429
102,0,437,1,428
103,0,439,1,427
104,0,439,1,428
105,0,438,1,428
106,0,438,1,1294
107,0,438,1,428
108,0,438,1,428
109,0,439,1,428
110,0,438,1,428
111,0,438,1,1293
112,0,439,1,429
113,0,437,1,428
114,0,438,1,428
115,0,438,1,428
116,0,438,1,429
117,0,437,1,430
118,0,437,1,428
119,0,438,1,428
120,0,438,1,429
121,0,438,1,428
122,0,437,1,428
123,0,439,1,428
124,0,438,1,428
125,0,438,1,1294
126,0,437,1,429
127,0,438,1,428
128,0,439,1,427
129,0,438,1,428
130,0,438,1,428
131,0,439,1,1293
132,0,439,1,427
133,0,439,1,429
134,0,437,1,1294
135,0,439,1,1293
136,0,438,1,428
137,0,439,1,2745
138,0,3462,1,1727
139,0,438,1,1294
140,0,438,1,428
141,0,438,1,428
142,0,439,1,428
143,0,437,1,1295
144,0,438,1,428
145,0,438,1,428
146,0,438,1,428
147,0,439,1,427
148,0,439,1,1293
149,0,439,1,428
150,0,438,1,1294
151,0,437,1,1295
152,0,438,1,428
153,0,438,1,1295
154,0,437,1,1295
155,0,438,1,1293
156,0,439,1,1294
157,0,439,1,1293
158,0,439,1,428
159,0,438,1,428
160,0,437,1,1295
161,0,438,1,428
162,0,438,1,428
163,0,438,1,429
164,0,437,1,428
165,0,439,1,427
166,0,439,1,428
167,0,438,1,428
168,0,438,1,428
169,0,438,1,428
170,0,439,1,427
171,0,438,1,428
172,0,439,1,427
173,0,439,1,428
174,0,438,1,428
175,0,437,1,428
176,0,439,1,428
177,0,438,1,428
178,0,438,1,428
179,0,439,1,1293
180,0,439,1,428
181,0,438,1,428
182,0,438,1,1294
183,0,439,1,1293
184,0,439,1,1293
185,0,438,1,428
186,0,439,1,428
187,0,438,1,427
188,0,439,1,428
189,0,439,1,1293
190,0,438,1,1294
191,0,439,1,428
192,0,437,1,1295
193,0,438,1,428
194,0,439,1,427
195,0,439,1,427
196,0,439,1,427
197,0,439,1,427
198,0,439,1,428
199,0,438,1,427
200,0,439,1,427
201,0,440,1,426
202,0,439,1,428
203,0,439,1,427
204,0,440,1,426
205,0,439,1,428
206,0,437,1,428
207,0,439,1,1294
208,0,439,1,1293
209,0,439,1,426
210,0,439,1,1294
211,0,438,1,429
212,0,439,1,427
213,0,439,1,426
214,0,440,1,427
215,0,439,1,427
216,0,439,1,427
217,0,440,1,426
218,0,439,1,427
219,0,439,1,426
220,0,439,1,428
221,0,438,1,427
222,0,440,1,427
223,0,439,1,427
224,0,440,1,426
225,0,439,1,428
226,0,439,1,426
227,0,439,1,427
228,0,440,1,1293
229,0,439,1,1294
230,0,439,1,426
231,0,439,1,427
232,0,440,1,426
233,0,439,1,427
234,0,440,1,426
235,0,439,1,427
236,0,440,1,427
237,0,439,1,427
238,0,439,1,427
239,0,439,1,427
240,0,439,1,1293
241,0,440,1,1292
242,0,440,1,426
243,0,440,1,427
244,0,439,1,427
245,0,439,1,427
246,0,439,1,427
247,0,439,1,428
248,0,439,1,426
249,0,440,1,427
250,0,440,1,425
251,0,439,1,428
252,0,439,1,427
253,0,440,1,426
254,0,439,1,427
255,0,440,1,427
