index,level0,duration0_us,level1,duration1_us
0,0,537,1,324
1,0,540,1,326
2,0,510,1,356
3,0,507,1,360
4,0,504,1,362
5,0,500,1,25056
6,0,3486,1,1730
7,0,436,1,1296
8,0,437,1,429
9,0,437,1,429
10,0,437,1,429
11,0,437,1,1295
12,0,437,1,430
13,0,435,1,430
14,0,438,1,429
15,0,436,1,430
16,0,436,1,1296
17,0,437,1,429
18,0,437,1,1295
19,0,437,1,1296
20,0,436,1,430
21,0,437,1,1295
22,0,436,1,1296
23,0,437,1,1295
24,0,437,1,1296
25,0,436,1,1296
26,0,436,1,430
27,0,436,1,430
28,0,435,1,1297
29,0,436,1,430
30,0,436,1,430
31,0,437,1,430
32,0,436,1,430
33,0,436,1,430
34,0,436,1,430
35,0,436,1,430
36,0,436,1,430
37,0,437,1,429
38,0,436,1,430
39,0,436,1,1297
40,0,436,1,430
41,0,436,1,1295
42,0,437,1,429
43,0,437,1,430
44,0,436,1,430
45,0,437,1,1295
46,0,436,1,1296
47,0,437,1,429
48,0,437,1,430
49,0,437,1,429
50,0,436,1,430
51,0,437,1,429
52,0,436,1,430
53,0,436,1,430
54,0,437,1,429
55,0,436,1,430
56,0,437,1,429
57,0,437,1,429
58,0,437,1,430
59,0,436,1,430
60,0,436,1,430
61,0,436,1,430
62,0,436,1,430
63,0,437,1,1295
64,0,437,1,1295
65,0,436,1,1296
66,0,437,1,430
67,0,436,1,1297
68,0,435,1,430
69,0,437,1,1295
70,0,437,1,1295
71,0,437,1,2745
72,0,3461,1,1727
73,0,439,1,1295
74,0,436,1,429
75,0,438,1,428
76,0,438,1,429
77,0,437,1,1294
78,0,438,1,429
79,0,437,1,428
80,0,438,1,430
81,0,437,1,428
82,0,438,1,1295
83,0,437,1,429
84,0,437,1,1295
85,0,437,1,1295
86,0,437,1,428
87,0,438,1,1294
88,0,439,1,1294
89,0,438,1,1295
90,0,437,1,1295
91,0,437,1,1295
92,0,438,1,428
93,0,437,1,428
94,0,438,1,1294
95,0,438,1,429
96,0,438,1,429
97,0,437,1,429
98,0,437,1,429
99,0,437,1,430
100,0,436,1,429
101,0,437,1,428
102,0,438,1,429
103,0,438,1,429
104,0,436,1,429
105,0,438,1,428
106,0,438,1,1295
107,0,437,1,430
108,0,436,1,428
109,0,438,1,429
110,0,438,1,427
111,0,439,1,1294
112,0,438,1,429
113,0,437,1,429
114,0,437,1,429
115,0,437,1,429
116,0,437,1,429
117,0,437,1,429
118,0,437,1,429
119,0,438,1,428
120,0,437,1,429
121,0,438,1,428
122,0,438,1,428
123,0,438,1,428
124,0,438,1,429
125,0,437,1,1295
126,0,437,1,429
127,0,438,1,428
128,0,438,1,429
129,0,436,1,430
130,0,437,1,429
131,0,437,1,1295
132,0,437,1,428
133,0,438,1,428
134,0,438,1,1295
135,0,438,1,1293
136,0,439,1,427
137,0,439,1,2744
138,0,3462,1,1727
139,0,438,1,1294
140,0,439,1,427
141,0,439,1,427
142,0,439,1,427
143,0,439,1,1294
144,0,438,1,428
145,0,438,1,428
146,0,438,1,428
147,0,438,1,428
148,0,439,1,1293
149,0,439,1,428
150,0,437,1,1295
151,0,438,1,1293
152,0,439,1,428
153,0,438,1,1293
154,0,439,1,1295
155,0,438,1,1293
156,0,439,1,1294
157,0,438,1,1293
158,0,440,1,427
159,0,439,1,428
160,0,438,1,1293
161,0,439,1,428
162,0,437,1,428
163,0,439,1,428
164,0,438,1,428
165,0,439,1,426
166,0,439,1,428
167,0,438,1,428
168,0,438,1,428
169,0,437,1,429
170,0,439,1,427
171,0,439,1,428
172,0,438,1,427
173,0,439,1,428
174,0,438,1,427
175,0,438,1,429
176,0,438,1,428
177,0,438,1,428
178,0,438,1,428
179,0,439,1,427
180,0,438,1,428
181,0,438,1,428
182,0,438,1,1295
183,0,438,1,1295
184,0,438,1,1293
185,0,438,1,428
186,0,438,1,428
187,0,438,1,428
188,0,439,1,427
189,0,439,1,1294
190,0,438,1,428
191,0,438,1,428
192,0,438,1,1294
193,0,438,1,428
194,0,439,1,427
195,0,439,1,427
196,0,439,1,427
197,0,439,1,427
198,0,440,1,426
199,0,439,1,427
200,0,439,1,427
201,0,439,1,428
202,0,438,1,429
203,0,438,1,427
204,0,439,1,427
205,0,439,1,427
206,0,439,1,428
207,0,438,1,1293
208,0,440,1,427
209,0,438,1,1295
210,0,437,1,428
211,0,438,1,1294
212,0,439,1,1293
213,0,439,1,1294
214,0,439,1,1292
215,0,440,1,427
216,0,439,1,427
217,0,439,1,427
218,0,439,1,426
219,0,439,1,428
220,0,440,1,425
221,0,439,1,427
222,0,441,1,425
223,0,440,1,427
224,0,438,1,428
225,0,439,1,426
226,0,440,1,427
227,0,439,1,426
228,0,440,1,1293
229,0,439,1,1294
230,0,439,1,427
231,0,439,1,426
232,0,440,1,427
233,0,439,1,427
234,0,439,1,427
235,0,439,1,428
236,0,438,1,428
237,0,438,1,428
238,0,438,1,428
239,0,439,1,426
240,0,440,1,1293
241,0,439,1,1293
242,0,440,1,426
243,0,440,1,426
244,0,439,1,427
245,0,439,1,427
246,0,440,1,427
247,0,438,1,428
248,0,439,1,427
249,0,439,1,427
250,0,440,1,426
251,0,440,1,427
252,0,438,1,427
253,0,439,1,427
254,0,440,1,426
255,0,439,1,428
