index,level0,duration0_us,level1,duration1_us
0,0,537,1,324
1,0,540,1,326
2,0,509,1,357
3,0,507,1,359
4,0,503,1,363
5,0,500,1,25056
6,0,3487,1,1729
7,0,437,1,1295
8,0,436,1,430
9,0,437,1,430
10,0,436,1,430
11,0,436,1,1296
12,0,437,1,429
13,0,437,1,429
14,0,436,1,431
15,0,436,1,429
16,0,437,1,1295
17,0,437,1,430
18,0,436,1,1296
19,0,436,1,1295
20,0,437,1,430
21,0,436,1,1296
22,0,437,1,1296
23,0,436,1,1295
24,0,437,1,1296
25,0,436,1,1296
26,0,436,1,430
27,0,436,1,430
28,0,437,1,1295
29,0,437,1,430
30,0,436,1,429
31,0,437,1,430
32,0,436,1,430
33,0,436,1,430
34,0,436,1,430
35,0,436,1,430
36,0,437,1,429
37,0,437,1,429
38,0,437,1,429
39,0,437,1,1295
40,0,437,1,429
41,0,438,1,1295
42,0,436,1,430
43,0,436,1,430
44,0,436,1,430
45,0,437,1,1295
46,0,437,1,1296
47,0,436,1,430
48,0,436,1,430
49,0,437,1,429
50,0,436,1,430
51,0,436,1,430
52,0,436,1,431
53,0,436,1,429
54,0,437,1,429
55,0,437,1,430
56,0,436,1,430
57,0,436,1,429
58,0,437,1,430
59,0,437,1,429
60,0,436,1,430
61,0,437,1,429
62,0,436,1,430
63,0,437,1,1295
64,0,437,1,1295
65,0,437,1,1296
66,0,436,1,430
67,0,437,1,1294
68,0,437,1,430
69,0,436,1,1296
70,0,437,1,1295
71,0,437,1,2744
72,0,3463,1,1729
73,0,436,1,1295
74,0,436,1,430
75,0,437,1,430
76,0,436,1,429
77,0,438,1,1294
78,0,437,1,430
79,0,436,1,429
80,0,438,1,429
81,0,437,1,429
82,0,437,1,1295
83,0,437,1,429
84,0,437,1,1295
85,0,438,1,1295
86,0,437,1,429
87,0,437,1,1295
88,0,437,1,1295
89,0,437,1,1295
90,0,437,1,1296
91,0,437,1,1295
92,0,437,1,429
93,0,437,1,428
94,0,439,1,1294
95,0,438,1,428
96,0,437,1,429
97,0,437,1,430
98,0,437,1,429
99,0,437,1,429
100,0,437,1,428
101,0,437,1,430
102,0,438,1,427
103,0,439,1,428
104,0,437,1,429
105,0,437,1,429
106,0,437,1,1295
107,0,438,1,428
108,0,438,1,429
109,0,437,1,427
110,0,439,1,429
111,0,438,1,1294
112,0,438,1,428
113,0,438,1,428
114,0,437,1,429
115,0,438,1,428
116,0,438,1,428
117,0,438,1,429
118,0,437,1,428
119,0,438,1,429
120,0,438,1,428
121,0,437,1,429
122,0,437,1,428
123,0,438,1,429
124,0,437,1,429
125,0,437,1,1296
126,0,437,1,428
127,0,438,1,429
128,0,438,1,428
129,0,437,1,430
130,0,436,1,429
131,0,437,1,1296
132,0,437,1,428
133,0,437,1,430
134,0,436,1,1296
135,0,437,1,1295
136,0,437,1,429
137,0,437,1,2744
138,0,3463,1,1726
139,0,439,1,1293
140,0,439,1,427
141,0,440,1,428
142,0,437,1,428
143,0,438,1,1294
144,0,439,1,428
145,0,438,1,429
146,0,436,1,429
147,0,437,1,428
148,0,439,1,1294
149,0,438,1,428
150,0,438,1,1294
151,0,438,1,1295
152,0,439,1,426
153,0,438,1,1294
154,0,439,1,1294
155,0,438,1,1294
156,0,438,1,1294
157,0,439,1,1293
158,0,439,1,428
159,0,437,1,428
160,0,439,1,1294
161,0,438,1,428
162,0,438,1,428
163,0,439,1,428
164,0,438,1,427
165,0,439,1,427
166,0,438,1,428
167,0,438,1,430
168,0,437,1,427
169,0,439,1,427
170,0,439,1,428
171,0,438,1,427
172,0,439,1,428
173,0,438,1,428
174,0,438,1,427
175,0,440,1,428
176,0,437,1,428
177,0,439,1,428
178,0,438,1,427
179,0,439,1,427
180,0,438,1,429
181,0,437,1,429
182,0,438,1,1295
183,0,437,1,1295
184,0,438,1,1294
185,0,439,1,428
186,0,437,1,428
187,0,438,1,429
188,0,437,1,428
189,0,438,1,1295
190,0,438,1,428
191,0,437,1,429
192,0,437,1,1294
193,0,438,1,428
194,0,439,1,427
195,0,439,1,429
196,0,437,1,429
197,0,437,1,429
198,0,437,1,428
199,0,438,1,429
200,0,437,1,428
201,0,439,1,427
202,0,440,1,426
203,0,439,1,427
204,0,439,1,427
205,0,439,1,427
206,0,439,1,428
207,0,438,1,1294
208,0,439,1,428
209,0,437,1,1294
210,0,440,1,427
211,0,438,1,1294
212,0,438,1,1293
213,0,440,1,1294
214,0,437,1,1294
215,0,439,1,427
216,0,440,1,426
217,0,439,1,428
218,0,438,1,427
219,0,439,1,427
220,0,438,1,428
221,0,439,1,427
222,0,439,1,427
223,0,439,1,427
224,0,440,1,426
225,0,440,1,426
226,0,440,1,426
227,0,440,1,427
228,0,439,1,1293
229,0,439,1,1293
230,0,439,1,427
231,0,439,1,428
232,0,438,1,427
233,0,439,1,427
234,0,439,1,428
235,0,438,1,428
236,0,439,1,427
237,0,439,1,427
238,0,439,1,427
239,0,439,1,427
240,0,439,1,1294
241,0,439,1,1292
242,0,440,1,426
243,0,440,1,427
244,0,439,1,427
245,0,439,1,427
246,0,439,1,426
247,0,440,1,427
248,0,439,1,427
249,0,440,1,427
250,0,438,1,427
251,0,439,1,428
252,0,439,1,426
253,0,440,1,427
254,0,439,1,427
255,0,438,1,428
