index,level0,duration0_us,level1,duration1_us
0,0,538,1,323
1,0,540,1,326
2,0,509,1,357
3,0,507,1,359
4,0,504,1,363
5,0,500,1,25056
6,0,3486,1,1729
7,0,437,1,1296
8,0,435,1,431
9,0,436,1,430
10,0,437,1,429
11,0,437,1,1295
12,0,437,1,429
13,0,437,1,429
14,0,437,1,429
15,0,437,1,429
16,0,436,1,1296
17,0,438,1,429
18,0,436,1,1296
19,0,436,1,1296
20,0,436,1,430
21,0,436,1,1297
22,0,436,1,1296
23,0,436,1,1296
24,0,436,1,1296
25,0,436,1,1296
26,0,437,1,429
27,0,436,1,430
28,0,437,1,1296
29,0,436,1,429
30,0,437,1,430
31,0,437,1,429
32,0,437,1,428
33,0,438,1,429
34,0,436,1,430
35,0,437,1,429
36,0,437,1,429
37,0,437,1,430
38,0,436,1,429
39,0,437,1,1295
40,0,438,1,429
41,0,436,1,1296
42,0,436,1,430
43,0,437,1,429
44,0,437,1,429
45,0,437,1,1295
46,0,437,1,1295
47,0,438,1,429
48,0,436,1,430
49,0,437,1,429
50,0,437,1,429
51,0,437,1,430
52,0,436,1,430
53,0,436,1,429
54,0,437,1,429
55,0,436,1,431
56,0,437,1,428
57,0,437,1,430
58,0,436,1,430
59,0,437,1,429
60,0,436,1,430
61,0,436,1,430
62,0,437,1,430
63,0,436,1,1296
64,0,436,1,1296
65,0,437,1,1295
66,0,437,1,429
67,0,436,1,1296
68,0,436,1,431
69,0,436,1,1296
70,0,436,1,1296
71,0,436,1,2745
72,0,3462,1,1728
73,0,437,1,1295
74,0,437,1,429
75,0,438,1,428
76,0,438,1,428
77,0,437,1,1295
78,0,438,1,428
79,0,438,1,429
80,0,437,1,429
81,0,437,1,429
82,0,437,1,1295
83,0,437,1,429
84,0,437,1,1295
85,0,437,1,1295
86,0,438,1,428
87,0,438,1,1295
88,0,437,1,1295
89,0,437,1,1295
90,0,438,1,1295
91,0,437,1,1295
92,0,437,1,429
93,0,438,1,427
94,0,438,1,1295
95,0,437,1,429
96,0,438,1,428
97,0,438,1,428
98,0,438,1,428
99,0,438,1,429
100,0,437,1,429
101,0,437,1,428
102,0,438,1,429
103,0,437,1,429
104,0,437,1,429
105,0,437,1,429
106,0,438,1,1294
107,0,437,1,429
108,0,438,1,429
109,0,437,1,429
110,0,436,1,430
111,0,437,1,1295
112,0,437,1,428
113,0,438,1,429
114,0,437,1,429
115,0,437,1,430
116,0,436,1,430
117,0,437,1,429
118,0,438,1,427
119,0,438,1,428
120,0,438,1,428
121,0,438,1,428
122,0,439,1,427
123,0,438,1,429
124,0,438,1,428
125,0,438,1,1294
126,0,438,1,429
127,0,437,1,428
128,0,438,1,429
129,0,438,1,428
130,0,437,1,430
131,0,436,1,1295
132,0,438,1,428
133,0,438,1,428
134,0,438,1,1295
135,0,437,1,1295
136,0,437,1,429
137,0,437,1,2744
138,0,3463,1,1726
139,0,439,1,1293
140,0,439,1,428
141,0,438,1,428
142,0,438,1,428
143,0,439,1,1294
144,0,438,1,427
145,0,439,1,428
146,0,438,1,428
147,0,438,1,428
148,0,438,1,1294
149,0,438,1,427
150,0,440,1,1293
151,0,439,1,1293
152,0,438,1,428
153,0,439,1,1295
154,0,437,1,1294
155,0,438,1,1296
156,0,437,1,1293
157,0,438,1,1294
158,0,439,1,427
159,0,439,1,429
160,0,436,1,1295
161,0,439,1,427
162,0,438,1,428
163,0,438,1,428
164,0,439,1,427
165,0,439,1,428
166,0,438,1,428
167,0,437,1,428
168,0,439,1,427
169,0,439,1,428
170,0,438,1,428
171,0,438,1,428
172,0,439,1,427
173,0,438,1,428
174,0,439,1,427
175,0,438,1,428
176,0,439,1,427
177,0,439,1,428
178,0,438,1,427
179,0,439,1,428
180,0,438,1,427
181,0,439,1,428
182,0,438,1,1294
183,0,438,1,1294
184,0,439,1,1293
185,0,439,1,428
186,0,438,1,429
187,0,438,1,1293
188,0,438,1,428
189,0,438,1,1294
190,0,438,1,429
191,0,438,1,428
192,0,438,1,1294
193,0,439,1,427
194,0,438,1,428
195,0,438,1,429
196,0,437,1,428
197,0,439,1,428
198,0,438,1,429
199,0,437,1,427
200,0,439,1,427
201,0,440,1,426
202,0,439,1,427
203,0,439,1,428
204,0,439,1,427
205,0,438,1,428
206,0,439,1,427
207,0,439,1,1294
208,0,439,1,427
209,0,439,1,1292
210,0,439,1,428
211,0,439,1,1293
212,0,439,1,1293
213,0,439,1,1293
214,0,439,1,1293
215,0,440,1,427
216,0,438,1,427
217,0,439,1,427
218,0,439,1,427
219,0,439,1,427
220,0,438,1,428
221,0,440,1,426
222,0,439,1,427
223,0,438,1,428
224,0,440,1,427
225,0,439,1,426
226,0,440,1,427
227,0,439,1,427
228,0,439,1,1293
229,0,439,1,1293
230,0,439,1,427
231,0,439,1,427
232,0,440,1,427
233,0,439,1,427
234,0,439,1,426
235,0,439,1,428
236,0,439,1,427
237,0,439,1,427
238,0,439,1,427
239,0,440,1,426
240,0,440,1,1292
241,0,440,1,1293
242,0,439,1,427
243,0,438,1,428
244,0,440,1,426
245,0,439,1,428
246,0,438,1,427
247,0,440,1,426
248,0,439,1,428
249,0,438,1,427
250,0,440,1,427
251,0,438,1,427
252,0,440,1,427
253,0,439,1,427
254,0,439,1,427
255,0,439,1,427
