index,level0,duration0_us,level1,duration1_us
0,0,537,1,325
1,0,539,1,327
2,0,509,1,357
3,0,506,1,360
4,0,503,1,363
5,0,501,1,25055
6,0,3486,1,1730
7,0,437,1,1295
8,0,437,1,430
9,0,436,1,430
10,0,437,1,429
11,0,436,1,1296
12,0,437,1,429
13,0,437,1,429
14,0,436,1,430
15,0,436,1,431
16,0,436,1,1296
17,0,437,1,429
18,0,436,1,1296
19,0,437,1,1295
20,0,437,1,430
21,0,436,1,1296
22,0,436,1,1296
23,0,436,1,1296
24,0,437,1,1295
25,0,436,1,1297
26,0,436,1,430
27,0,437,1,428
28,0,437,1,1296
29,0,436,1,430
30,0,437,1,429
31,0,436,1,430
32,0,437,1,429
33,0,437,1,429
34,0,437,1,429
35,0,437,1,429
36,0,437,1,429
37,0,437,1,430
38,0,436,1,429
39,0,437,1,1296
40,0,436,1,430
41,0,436,1,1296
42,0,436,1,430
43,0,437,1,429
44,0,437,1,430
45,0,436,1,1296
46,0,436,1,1296
47,0,436,1,430
48,0,437,1,429
49,0,437,1,429
50,0,436,1,430
51,0,437,1,430
52,0,437,1,429
53,0,436,1,430
54,0,436,1,430
55,0,436,1,430
56,0,437,1,429
57,0,436,1,430
58,0,437,1,429
59,0,436,1,430
60,0,437,1,428
61,0,438,1,430
62,0,436,1,430
63,0,436,1,1296
64,0,437,1,1295
65,0,436,1,1296
66,0,437,1,429
67,0,437,1,1295
68,0,437,1,430
69,0,436,1,1296
70,0,436,1,1296
71,0,436,1,2745
72,0,3462,1,1728
73,0,437,1,1294
74,0,438,1,429
75,0,438,1,429
76,0,436,1,428
77,0,439,1,1294
78,0,438,1,428
79,0,438,1,428
80,0,437,1,430
81,0,437,1,429
82,0,437,1,1296
83,0,437,1,427
84,0,438,1,1296
85,0,436,1,1296
86,0,436,1,429
87,0,438,1,1294
88,0,438,1,1296
89,0,437,1,1295
90,0,437,1,1294
91,0,438,1,1294
92,0,438,1,429
93,0,437,1,429
94,0,437,1,1295
95,0,437,1,430
96,0,437,1,428
97,0,438,1,429
98,0,436,1,430
99,0,436,1,430
100,0,437,1,429
101,0,437,1,429
102,0,437,1,429
103,0,436,1,429
104,0,438,1,430
105,0,436,1,429
106,0,438,1,1293
107,0,438,1,430
108,0,436,1,429
109,0,438,1,429
110,0,437,1,428
111,0,438,1,1295
112,0,437,1,429
113,0,437,1,429
114,0,437,1,429
115,0,438,1,427
116,0,438,1,428
117,0,439,1,429
118,0,437,1,429
119,0,436,1,430
120,0,437,1,429
121,0,437,1,428
122,0,438,1,429
123,0,438,1,428
124,0,437,1,429
125,0,438,1,1295
126,0,437,1,428
127,0,438,1,428
128,0,439,1,428
129,0,437,1,428
130,0,439,1,427
131,0,438,1,1295
132,0,438,1,428
133,0,438,1,429
134,0,438,1,1293
135,0,438,1,1295
136,0,437,1,430
137,0,436,1,2744
138,0,3463,1,1727
139,0,438,1,1294
140,0,438,1,428
141,0,438,1,428
142,0,439,1,427
143,0,439,1,1293
144,0,438,1,429
145,0,438,1,427
146,0,439,1,428
147,0,438,1,428
148,0,438,1,1294
149,0,439,1,427
150,0,439,1,1293
151,0,439,1,1293
152,0,439,1,428
153,0,438,1,1294
154,0,438,1,1294
155,0,439,1,1294
156,0,438,1,1294
157,0,438,1,1293
158,0,439,1,427
159,0,439,1,428
160,0,438,1,1294
161,0,438,1,428
162,0,439,1,427
163,0,439,1,427
164,0,439,1,428
165,0,438,1,427
166,0,440,1,427
167,0,438,1,428
168,0,438,1,428
169,0,438,1,428
170,0,438,1,427
171,0,439,1,429
172,0,437,1,428
173,0,439,1,427
174,0,439,1,427
175,0,439,1,428
176,0,438,1,428
177,0,439,1,426
178,0,439,1,428
179,0,438,1,428
180,0,439,1,427
181,0,438,1,428
182,0,439,1,1293
183,0,438,1,1294
184,0,439,1,1294
185,0,438,1,428
186,0,438,1,428
187,0,439,1,1293
188,0,438,1,1294
189,0,439,1,1294
190,0,438,1,1294
191,0,439,1,427
192,0,438,1,1294
193,0,439,1,427
194,0,439,1,427
195,0,439,1,427
196,0,439,1,428
197,0,438,1,428
198,0,438,1,428
199,0,439,1,427
200,0,438,1,429
201,0,437,1,428
202,0,439,1,427
203,0,438,1,428
204,0,439,1,427
205,0,439,1,427
206,0,439,1,427
207,0,439,1,1293
208,0,440,1,427
209,0,439,1,1293
210,0,439,1,427
211,0,439,1,427
212,0,439,1,427
213,0,439,1,427
214,0,440,1,427
215,0,439,1,427
216,0,438,1,428
217,0,439,1,427
218,0,438,1,428
219,0,439,1,426
220,0,439,1,427
221,0,440,1,426
222,0,439,1,428
223,0,439,1,427
224,0,439,1,426
225,0,440,1,427
226,0,439,1,427
227,0,439,1,426
228,0,440,1,1293
229,0,439,1,1293
230,0,439,1,427
128,0,438,1,429
129,0,436,1,429
130,0,438,1,428
131,0,438,1,1294
132,0,439,1,428
133,0,437,1,430
134,0,437,1,1294
135,0,438,1,1294
136,0,437,1,429
137,0,438,1,2743
138,0,3464,1,1727
139,0,438,1,1294
140,0,438,1,428
141,0,438,1,428
142,0,438,1,428
143,0,438,1,1294
144,0,438,1,428
145,0,438,1,428
146,0,438,1,428
147,0,439,1,428
148,0,437,1,1295
149,0,437,1,428
150,0,439,1,1294
151,0,438,1,1294
152,0,438,1,428
153,0,438,1,1295
154,0,438,1,1293
155,0,439,1,1294
156,0,438,1,1294
157,0,438,1,1294
158,0,439,1,427
159,0,439,1,428
160,0,437,1,1295
161,0,438,1,428
162,0,438,1,428
163,0,438,1,428
164,0,438,1,428
165,0,438,1,428
166,0,439,1,429
167,0,436,1,429
168,0,438,1,427
169,0,439,1,428
170,0,438,1,428
171,0,438,1,428
172,0,438,1,428
173,0,438,1,428
174,0,439,1,429
175,0,437,1,427
176,0,438,1,429
177,0,437,1,428
178,0,439,1,428
179,0,438,1,428
180,0,438,1,429
181,0,436,1,428
182,0,439,1,1294
183,0,439,1,1294
184,0,437,1,1295
185,0,438,1,427
186,0,439,1,428
187,0,439,1,1294
188,0,437,1,1294
189,0,438,1,1295
190,0,438,1,1293
191,0,438,1,1295
192,0,438,1,1294
193,0,438,1,428
194,0,439,1,428
195,0,437,1,428
196,0,438,1,428
197,0,439,1,427
198,0,439,1,428
199,0,438,1,428
200,0,439,1,426
201,0,439,1,428
202,0,439,1,427
203,0,438,1,428
204,0,439,1,427
205,0,439,1,427
206,0,438,1,428
207,0,439,1,1294
208,0,438,1,428
209,0,438,1,1294
