index,level0,duration0_us,level1,duration1_us
0,0,509,1,353
1,0,510,1,355
2,0,534,1,332
3,0,509,1,357
4,0,504,1,362
5,0,502,1,25054
6,0,3487,1,1730
7,0,436,1,1297
8,0,436,1,429
9,0,437,1,429
10,0,437,1,429
11,0,437,1,1295
12,0,437,1,429
13,0,436,1,430
14,0,437,1,430
15,0,436,1,430
16,0,436,1,1296
17,0,436,1,430
18,0,437,1,1295
19,0,437,1,1296
20,0,436,1,429
21,0,437,1,1296
22,0,436,1,1296
23,0,437,1,1295
24,0,437,1,1295
25,0,437,1,1296
26,0,436,1,430
27,0,436,1,430
28,0,437,1,1295
29,0,437,1,429
30,0,437,1,429
31,0,437,1,429
32,0,437,1,430
33,0,436,1,430
34,0,436,1,430
35,0,436,1,429
36,0,437,1,430
37,0,436,1,430
38,0,436,1,430
39,0,436,1,1297
40,0,436,1,429
41,0,437,1,1295
42,0,437,1,429
43,0,437,1,429
44,0,437,1,430
45,0,436,1,1296
46,0,437,1,1295
47,0,437,1,430
48,0,436,1,429
49,0,436,1,430
50,0,437,1,429
51,0,437,1,430
52,0,436,1,430
53,0,436,1,430
54,0,437,1,429
55,0,437,1,429
56,0,437,1,429
57,0,436,1,430
58,0,437,1,430
59,0,436,1,429
60,0,436,1,429
61,0,439,1,429
62,0,436,1,430
63,0,437,1,1295
64,0,437,1,1295
65,0,437,1,1296
66,0,437,1,428
67,0,437,1,1296
68,0,437,1,429
69,0,437,1,1295
70,0,437,1,1295
71,0,438,1,2743
72,0,3462,1,1729
73,0,436,1,1295
74,0,437,1,429
75,0,438,1,428
76,0,438,1,429
77,0,437,1,1294
78,0,439,1,428
79,0,436,1,429
80,0,439,1,429
81,0,436,1,428
82,0,439,1,1294
83,0,438,1,428
84,0,438,1,1295
85,0,437,1,1294
86,0,438,1,428
87,0,439,1,1293
88,0,439,1,1294
89,0,438,1,1294
90,0,439,1,1293
91,0,437,1,1296
92,0,437,1,428
93,0,438,1,428
94,0,439,1,1294
95,0,437,1,429
96,0,437,1,429
97,0,438,1,428
98,0,438,1,428
99,0,438,1,428
100,0,438,1,428
101,0,438,1,429
102,0,437,1,429
103,0,437,1,429
104,0,437,1,429
105,0,437,1,429
106,0,438,1,1294
107,0,438,1,429
108,0,437,1,428
109,0,437,1,430
110,0,437,1,430
111,0,436,1,1294
112,0,439,1,429
113,0,437,1,429
114,0,437,1,428
115,0,438,1,428
116,0,438,1,428
117,0,438,1,428
118,0,438,1,429
119,0,438,1,427
120,0,438,1,429
121,0,438,1,427
122,0,439,1,428
123,0,438,1,429
124,0,437,1,428
125,0,438,1,1294
126,0,439,1,427
127,0,438,1,428
128,0,439,1,428
129,0,438,1,427
130,0,438,1,429
131,0,438,1,1294
132,0,438,1,428
133,0,438,1,428
134,0,438,1,1294
135,0,439,1,1294
136,0,438,1,427
137,0,439,1,2743
138,0,3464,1,1727
139,0,437,1,1295
140,0,437,1,429
141,0,437,1,428
142,0,439,1,428
143,0,438,1,1294
144,0,438,1,427
145,0,439,1,428
146,0,438,1,428
147,0,438,1,428
148,0,439,1,1294
149,0,438,1,428
150,0,438,1,1294
151,0,438,1,1294
152,0,438,1,427
153,0,439,1,1294
154,0,438,1,1294
155,0,439,1,1294
156,0,438,1,1293
157,0,439,1,1294
158,0,439,1,427
159,0,439,1,428
160,0,438,1,1293
161,0,439,1,427
162,0,439,1,427
163,0,439,1,428
164,0,438,1,428
165,0,438,1,428
166,0,438,1,428
167,0,438,1,428
168,0,439,1,427
169,0,439,1,427
170,0,439,1,427
171,0,439,1,428
172,0,438,1,427
173,0,438,1,429
174,0,438,1,428
175,0,438,1,428
176,0,438,1,429
177,0,437,1,428
178,0,439,1,427
179,0,439,1,428
180,0,438,1,428
181,0,437,1,429
182,0,438,1,1294
183,0,439,1,1292
184,0,439,1,1294
185,0,439,1,428
186,0,437,1,428
187,0,439,1,427
188,0,439,1,427
189,0,439,1,428
190,0,438,1,427
191,0,439,1,428
192,0,439,1,427
193,0,438,1,1294
194,0,440,1,426
195,0,439,1,427
196,0,439,1,427
197,0,439,1,428
198,0,438,1,428
199,0,438,1,427
200,0,439,1,428
201,0,438,1,428
202,0,438,1,428
203,0,438,1,428
204,0,439,1,427
205,0,439,1,427
206,0,439,1,427
207,0,440,1,1292
208,0,440,1,427
209,0,438,1,1294
210,0,439,1,427
211,0,439,1,427
212,0,439,1,427
213,0,439,1,427
214,0,440,1,427
215,0,438,1,427
216,0,439,1,427
217,0,439,1,428
218,0,438,1,427
219,0,439,1,428
220,0,439,1,427
221,0,439,1,427
222,0,438,1,427
223,0,439,1,427
224,0,440,1,427
225,0,439,1,427
226,0,439,1,426
227,0,440,1,427
228,0,440,1,1292
229,0,439,1,1293
230,0,440,1,426
231,0,440,1,426
232,0,440,1,427
233,0,438,1,427
234,0,440,1,427
235,0,439,1,426
236,0,441,1,426
237,0,440,1,426
238,0,439,1,427
239,0,439,1,427
240,0,439,1,1293
241,0,439,1,1293
242,0,440,1,427
243,0,439,1,427
244,0,439,1,427
245,0,439,1,427
246,0,440,1,426
247,0,440,1,426
248,0,439,1,428
249,0,439,1,426
250,0,439,1,427
251,0,439,1,428
252,0,439,1,426
253,0,440,1,427
254,0,440,1,426
255,0,439,1,427
