index,level0,duration0_us,level1,duration1_us
0,0,508,1,353
1,0,512,1,354
2,0,534,1,332
3,0,531,1,335
4,0,504,1,362
5,0,501,1,25055
6,0,3488,1,1728
7,0,437,1,1296
8,0,435,1,430
9,0,437,1,430
10,0,436,1,430
11,0,437,1,1295
12,0,437,1,429
13,0,436,1,431
14,0,436,1,430
15,0,436,1,429
16,0,436,1,1296
17,0,438,1,429
18,0,436,1,1296
19,0,436,1,1296
20,0,436,1,431
21,0,435,1,1296
22,0,437,1,1296
23,0,436,1,1296
24,0,436,1,1296
25,0,437,1,1295
26,0,437,1,430
27,0,435,1,430
28,0,437,1,1295
29,0,438,1,427
30,0,439,1,430
31,0,435,1,430
32,0,436,1,431
33,0,436,1,429
34,0,437,1,428
35,0,437,1,430
36,0,437,1,429
37,0,437,1,430
38,0,437,1,429
39,0,437,1,1295
40,0,437,1,429
41,0,437,1,1295
42,0,436,1,430
43,0,437,1,430
44,0,436,1,430
45,0,436,1,1295
46,0,437,1,1296
47,0,437,1,429
48,0,436,1,430
49,0,437,1,429
50,0,437,1,428
51,0,438,1,429
52,0,437,1,430
53,0,436,1,429
54,0,437,1,430
55,0,436,1,430
56,0,436,1,430
57,0,437,1,429
58,0,437,1,429
59,0,436,1,429
60,0,438,1,429
61,0,437,1,429
62,0,437,1,430
63,0,437,1,1294
64,0,438,1,1295
65,0,436,1,1296
66,0,437,1,429
67,0,437,1,1295
68,0,438,1,429
69,0,437,1,1294
70,0,437,1,1295
71,0,438,1,2743
72,0,3463,1,1727
73,0,438,1,1294
74,0,438,1,428
75,0,439,1,427
76,0,439,1,427
77,0,438,1,1295
78,0,438,1,428
79,0,438,1,428
80,0,438,1,428
81,0,437,1,429
82,0,438,1,1293
83,0,439,1,430
84,0,436,1,1295
85,0,438,1,1294
86,0,438,1,428
87,0,438,1,1294
88,0,438,1,1294
89,0,438,1,1295
90,0,437,1,1295
91,0,438,1,1294
92,0,438,1,428
93,0,439,1,427
94,0,438,1,1295
95,0,438,1,428
96,0,438,1,428
97,0,438,1,428
98,0,437,1,429
99,0,438,1,428
100,0,437,1,429
101,0,438,1,428
102,0,438,1,428
103,0,438,1,429
104,0,437,1,430
105,0,436,1,429
106,0,437,1,1294
107,0,439,1,428
108,0,438,1,428
109,0,438,1,428
110,0,438,1,427
111,0,439,1,1295
112,0,437,1,428
113,0,438,1,429
114,0,437,1,429
115,0,437,1,429
116,0,437,1,429
117,0,438,1,428
118,0,438,1,428
119,0,438,1,428
120,0,438,1,428
121,0,438,1,428
122,0,438,1,428
123,0,438,1,430
124,0,436,1,429
125,0,437,1,1295
126,0,438,1,428
127,0,437,1,429
128,0,438,1,428
129,0,438,1,428
130,0,438,1,429
131,0,438,1,1293
132,0,439,1,428
133,0,437,1,429
134,0,439,1,1293
135,0,438,1,1294
136,0,438,1,428
137,0,438,1,2744
138,0,3463,1,1726
139,0,438,1,1295
140,0,438,1,428
141,0,438,1,428
142,0,439,1,428
143,0,437,1,1294
144,0,439,1,428
145,0,438,1,428
146,0,437,1,429
147,0,438,1,428
148,0,438,1,1294
149,0,438,1,428
150,0,438,1,1295
151,0,437,1,1295
152,0,438,1,428
153,0,438,1,1294
154,0,438,1,1294
155,0,438,1,1295
156,0,438,1,1294
157,0,437,1,1295
158,0,438,1,428
159,0,438,1,428
160,0,438,1,1294
161,0,439,1,427
162,0,438,1,428
163,0,439,1,427
164,0,439,1,428
165,0,438,1,427
166,0,439,1,428
167,0,438,1,428
168,0,438,1,428
169,0,438,1,428
170,0,438,1,429
171,0,437,1,428
172,0,439,1,427
173,0,439,1,427
174,0,439,1,428
175,0,438,1,428
176,0,438,1,427
177,0,439,1,428
178,0,439,1,427
179,0,438,1,429
180,0,437,1,428
181,0,438,1,428
182,0,439,1,1293
183,0,438,1,1295
184,0,438,1,1294
185,0,438,1,428
186,0,438,1,428
187,0,438,1,428
188,0,438,1,428
189,0,439,1,1293
190,0,439,1,1293
191,0,439,1,428
192,0,438,1,1294
193,0,439,1,427
194,0,438,1,428
195,0,438,1,428
196,0,439,1,428
197,0,438,1,428
198,0,438,1,428
199,0,438,1,428
200,0,438,1,428
201,0,438,1,428
202,0,439,1,427
203,0,439,1,427
204,0,439,1,427
205,0,439,1,427
206,0,439,1,427
207,0,439,1,1294
208,0,438,1,427
209,0,440,1,1293
210,0,439,1,427
211,0,439,1,427
212,0,439,1,427
213,0,438,1,428
214,0,440,1,426
215,0,439,1,428
216,0,439,1,426
217,0,439,1,428
218,0,438,1,427
219,0,441,1,426
220,0,438,1,427
221,0,440,1,426
222,0,440,1,426
223,0,439,1,427
224,0,440,1,426
225,0,439,1,427
226,0,440,1,427
227,0,439,1,427
228,0,439,1,1292
229,0,440,1,1293
230,0,440,1,426
231,0,440,1,427
232,0,438,1,427
233,0,439,1,427
234,0,439,1,428
235,0,439,1,427
236,0,439,1,427
237,0,439,1,427
238,0,439,1,427
239,0,439,1,427
240,0,439,1,1293
241,0,439,1,1293
242,0,440,1,427
243,0,438,1,428
244,0,439,1,427
245,0,439,1,426
246,0,441,1,426
247,0,439,1,427
248,0,438,1,428
249,0,439,1,427
250,0,439,1,428
251,0,438,1,428
252,0,438,1,428
253,0,439,1,427
254,0,438,1,428
255,0,439,1,427
