index,level0,duration0_us,level1,duration1_us
0,0,533,1,328
1,0,512,1,355
2,0,535,1,331
3,0,530,1,336
4,0,504,1,362
5,0,501,1,25055
6,0,3487,1,1730
7,0,436,1,1295
8,0,436,1,431
9,0,436,1,430
10,0,436,1,430
11,0,436,1,1296
12,0,436,1,430
13,0,437,1,429
14,0,436,1,430
15,0,437,1,430
16,0,436,1,1296
17,0,436,1,430
18,0,436,1,1296
19,0,436,1,1296
20,0,436,1,430
21,0,437,1,1295
22,0,437,1,1296
23,0,436,1,1296
24,0,437,1,1295
25,0,436,1,1296
26,0,437,1,429
27,0,437,1,430
28,0,436,1,1295
29,0,437,1,430
30,0,436,1,429
31,0,437,1,430
32,0,437,1,429
33,0,436,1,430
34,0,437,1,429
35,0,436,1,430
36,0,437,1,430
37,0,437,1,429
38,0,436,1,430
39,0,436,1,1295
40,0,438,1,429
41,0,436,1,1296
42,0,437,1,428
43,0,438,1,429
44,0,437,1,430
45,0,437,1,1295
46,0,436,1,1296
47,0,436,1,430
48,0,436,1,430
49,0,437,1,429
50,0,437,1,430
51,0,436,1,430
52,0,435,1,431
53,0,435,1,431
54,0,436,1,430
55,0,436,1,430
56,0,436,1,430
57,0,437,1,429
58,0,436,1,430
59,0,437,1,430
60,0,436,1,429
61,0,437,1,429
62,0,437,1,429
63,0,436,1,1296
64,0,437,1,1296
65,0,437,1,1294
66,0,438,1,428
67,0,438,1,1295
68,0,437,1,429
69,0,437,1,1295
70,0,438,1,1295
71,0,437,1,2744
72,0,3462,1,1726
73,0,439,1,1296
74,0,436,1,428
75,0,438,1,429
76,0,437,1,428
77,0,439,1,1294
78,0,437,1,429
79,0,438,1,428
80,0,437,1,428
81,0,439,1,428
82,0,438,1,1294
83,0,439,1,428
84,0,437,1,1294
85,0,438,1,1295
86,0,437,1,429
87,0,438,1,1294
88,0,439,1,1293
89,0,439,1,1293
90,0,438,1,1295
91,0,438,1,1293
92,0,440,1,427
93,0,438,1,428
94,0,438,1,1294
95,0,438,1,429
96,0,438,1,428
97,0,438,1,428
98,0,438,1,427
99,0,438,1,429
100,0,438,1,428
101,0,438,1,428
102,0,439,1,427
103,0,438,1,428
104,0,438,1,428
105,0,438,1,429
106,0,437,1,1295
107,0,438,1,428
108,0,438,1,428
109,0,438,1,428
110,0,438,1,428
111,0,438,1,1294
112,0,439,1,428
113,0,437,1,428
114,0,438,1,429
115,0,437,1,429
116,0,438,1,428
117,0,438,1,428
118,0,438,1,427
119,0,438,1,429
120,0,437,1,429
121,0,438,1,428
122,0,438,1,428
123,0,438,1,428
124,0,438,1,429
125,0,437,1,1295
126,0,437,1,429
127,0,438,1,428
128,0,438,1,428
129,0,438,1,428
130,0,438,1,428
131,0,439,1,1293
132,0,438,1,428
133,0,438,1,429
134,0,437,1,1294
135,0,439,1,1294
136,0,437,1,429
137,0,438,1,2744
138,0,3463,1,1726
139,0,439,1,1293
140,0,439,1,428
141,0,438,1,428
142,0,438,1,428
143,0,439,1,1293
144,0,438,1,429
145,0,438,1,428
146,0,438,1,427
147,0,439,1,428
148,0,438,1,1294
149,0,438,1,428
150,0,438,1,1294
151,0,438,1,1295
152,0,438,1,428
153,0,438,1,1294
154,0,438,1,1294
155,0,438,1,1294
156,0,438,1,1294
157,0,439,1,1293
158,0,439,1,427
159,0,439,1,428
160,0,438,1,1294
161,0,438,1,428
162,0,438,1,428
163,0,439,1,427
164,0,439,1,428
165,0,437,1,428
166,0,439,1,427
167,0,438,1,429
168,0,438,1,428
169,0,438,1,428
170,0,439,1,427
171,0,438,1,428
172,0,438,1,428
173,0,439,1,427
174,0,439,1,427
175,0,438,1,429
176,0,438,1,428
177,0,438,1,428
178,0,438,1,428
179,0,438,1,428
180,0,438,1,428
181,0,438,1,428
182,0,438,1,1294
183,0,438,1,1294
184,0,439,1,1294
185,0,437,1,428
186,0,439,1,428
187,0,438,1,428
188,0,439,1,427
189,0,438,1,1294
190,0,439,1,1294
191,0,438,1,428
192,0,438,1,1293
193,0,439,1,428
194,0,439,1,427
195,0,439,1,427
196,0,439,1,427
197,0,438,1,428
198,0,438,1,428
199,0,439,1,427
200,0,439,1,428
201,0,439,1,426
202,0,440,1,426
203,0,440,1,1293
204,0,439,1,1293
205,0,439,1,1294
206,0,438,1,1294
207,0,439,1,1292
208,0,439,1,1294
209,0,439,1,427
210,0,439,1,1293
211,0,439,1,427
212,0,440,1,426
213,0,440,1,427
214,0,438,1,427
215,0,439,1,427
216,0,439,1,427
217,0,439,1,427
218,0,440,1,426
219,0,440,1,426
220,0,439,1,427
221,0,440,1,427
222,0,439,1,427
223,0,439,1,427
224,0,439,1,426
225,0,440,1,427
226,0,439,1,426
227,0,440,1,427
228,0,439,1,1293
229,0,439,1,1293
230,0,440,1,426
231,0,440,1,426
232,0,440,1,426
233,0,440,1,427
234,0,438,1,428
235,0,439,1,427
236,0,439,1,427
237,0,439,1,427
238,0,439,1,427
239,0,439,1,427
240,0,440,1,1292
241,0,440,1,1293
242,0,438,1,428
243,0,440,1,426
244,0,440,1,426
245,0,439,1,428
246,0,438,1,427
247,0,440,1,426
248,0,439,1,427
249,0,440,1,426
250,0,440,1,426
251,0,440,1,426
252,0,441,1,426
253,0,440,1,426
254,0,439,1,427
255,0,440,1,427
