index,level0,duration0_us,level1,duration1_us
0,0,509,1,353
1,0,511,1,355
2,0,534,1,332
3,0,506,1,360
4,0,504,1,362
5,0,501,1,25055
6,0,3486,1,1729
7,0,437,1,1296
8,0,437,1,429
9,0,437,1,429
10,0,437,1,430
11,0,436,1,1297
12,0,435,1,430
13,0,436,1,430
14,0,437,1,429
15,0,437,1,429
16,0,437,1,1295
17,0,437,1,429
18,0,437,1,1295
19,0,437,1,1296
20,0,436,1,430
21,0,437,1,1295
22,0,437,1,1295
23,0,437,1,1296
24,0,435,1,1297
25,0,436,1,1296
26,0,436,1,430
27,0,436,1,430
28,0,437,1,1295
29,0,436,1,430
30,0,436,1,431
31,0,435,1,431
32,0,436,1,430
33,0,436,1,430
34,0,436,1,430
35,0,436,1,430
36,0,436,1,430
37,0,436,1,429
38,0,437,1,430
39,0,436,1,1296
40,0,438,1,429
41,0,436,1,1295
42,0,437,1,430
43,0,436,1,429
44,0,437,1,430
45,0,436,1,1296
46,0,436,1,1296
47,0,436,1,430
48,0,437,1,430
49,0,436,1,428
50,0,438,1,430
51,0,436,1,430
52,0,436,1,430
53,0,437,1,429
54,0,437,1,429
55,0,437,1,430
56,0,436,1,430
57,0,436,1,429
58,0,437,1,429
59,0,437,1,1294
60,0,439,1,429
61,0,437,1,428
62,0,438,1,429
63,0,437,1,1295
64,0,437,1,1296
65,0,436,1,1295
66,0,437,1,429
67,0,438,1,429
68,0,437,1,1294
69,0,438,1,1295
70,0,437,1,1295
71,0,437,1,2744
72,0,3463,1,1727
73,0,438,1,1294
74,0,437,1,429
75,0,439,1,427
76,0,438,1,428
77,0,438,1,1294
78,0,439,1,428
79,0,437,1,428
80,0,438,1,429
81,0,437,1,429
82,0,438,1,1295
83,0,437,1,428
84,0,439,1,1293
85,0,438,1,1294
86,0,438,1,429
87,0,437,1,1295
88,0,438,1,1294
89,0,438,1,1294
90,0,438,1,1294
91,0,439,1,1293
92,0,439,1,428
93,0,438,1,428
94,0,438,1,1294
95,0,438,1,428
96,0,438,1,428
97,0,439,1,427
98,0,438,1,428
99,0,439,1,427
100,0,439,1,428
101,0,437,1,429
102,0,437,1,429
103,0,438,1,427
104,0,439,1,428
105,0,438,1,428
106,0,438,1,1294
107,0,438,1,428
108,0,438,1,428
109,0,438,1,428
110,0,439,1,428
111,0,438,1,1294
112,0,438,1,428
113,0,438,1,428
114,0,439,1,427
115,0,439,1,427
116,0,438,1,428
117,0,438,1,429
118,0,437,1,428
119,0,439,1,428
120,0,437,1,429
121,0,438,1,428
122,0,438,1,428
123,0,438,1,428
124,0,438,1,428
125,0,438,1,1294
126,0,438,1,429
127,0,438,1,428
128,0,438,1,427
129,0,438,1,428
130,0,439,1,428
131,0,438,1,1294
132,0,438,1,428
133,0,438,1,428
134,0,439,1,1293
135,0,439,1,1294
136,0,438,1,428
137,0,438,1,2744
138,0,3463,1,1726
139,0,439,1,1294
140,0,438,1,428
141,0,437,1,429
142,0,438,1,427
143,0,439,1,1295
144,0,437,1,428
145,0,439,1,427
146,0,438,1,428
147,0,438,1,428
148,0,439,1,1294
149,0,439,1,427
150,0,438,1,1294
151,0,439,1,1293
152,0,438,1,429
153,0,438,1,1293
154,0,438,1,1294
155,0,439,1,1294
156,0,438,1,1294
157,0,439,1,1294
158,0,437,1,429
159,0,438,1,428
160,0,438,1,1294
161,0,438,1,428
162,0,438,1,428
163,0,438,1,428
164,0,438,1,428
165,0,438,1,428
166,0,439,1,427
167,0,439,1,428
168,0,437,1,428
169,0,439,1,427
170,0,439,1,427
171,0,439,1,428
172,0,438,1,428
173,0,438,1,428
174,0,439,1,427
175,0,439,1,427
176,0,438,1,428
177,0,439,1,427
178,0,439,1,428
179,0,438,1,428
180,0,438,1,427
181,0,439,1,428
182,0,437,1,1294
183,0,438,1,1295
184,0,438,1,1294
185,0,439,1,427
186,0,439,1,427
187,0,438,1,428
188,0,439,1,427
189,0,439,1,1294
190,0,438,1,1294
191,0,439,1,427
192,0,438,1,1294
193,0,439,1,427
194,0,439,1,428
195,0,438,1,428
196,0,438,1,427
197,0,439,1,428
198,0,439,1,427
199,0,439,1,427
200,0,439,1,427
201,0,439,1,427
202,0,438,1,428
203,0,439,1,427
204,0,439,1,428
205,0,438,1,428
206,0,438,1,427
207,0,440,1,427
208,0,438,1,1295
209,0,438,1,427
210,0,439,1,1293
211,0,439,1,427
212,0,439,1,427
213,0,440,1,427
214,0,438,1,428
215,0,438,1,428
216,0,439,1,427
217,0,440,1,426
218,0,439,1,427
219,0,439,1,427
220,0,438,1,427
221,0,440,1,427
222,0,439,1,426
223,0,440,1,427
224,0,439,1,427
225,0,439,1,427
226,0,439,1,427
227,0,439,1,426
228,0,440,1,1293
229,0,439,1,1294
230,0,439,1,427
231,0,439,1,427
232,0,439,1,427
233,0,439,1,427
234,0,439,1,427
235,0,439,1,427
236,0,439,1,427
237,0,439,1,427
238,0,440,1,426
239,0,440,1,426
240,0,440,1,1292
241,0,440,1,1293
242,0,440,1,426
243,0,439,1,427
244,0,440,1,427
245,0,438,1,427
246,0,439,1,428
247,0,438,1,427
248,0,440,1,427
249,0,438,1,428
250,0,439,1,427
251,0,439,1,427
252,0,439,1,427
253,0,439,1,427
254,0,440,1,427
255,0,439,1,427
