index,level0,duration0_us,level1,duration1_us
0,0,507,1,354
1,0,510,1,355
2,0,535,1,332
3,0,530,1,336
4,0,504,1,362
5,0,501,1,25055
6,0,3487,1,1729
7,0,436,1,1296
8,0,437,1,430
9,0,436,1,429
10,0,437,1,430
11,0,436,1,1296
12,0,436,1,430
13,0,436,1,430
14,0,436,1,430
15,0,436,1,430
16,0,436,1,1296
17,0,437,1,429
18,0,437,1,1296
19,0,436,1,1296
20,0,436,1,430
21,0,437,1,1295
22,0,436,1,1296
23,0,437,1,1295
24,0,437,1,1296
25,0,436,1,1296
26,0,436,1,430
27,0,437,1,429
28,0,437,1,1296
29,0,436,1,429
30,0,437,1,430
31,0,436,1,430
32,0,436,1,430
33,0,437,1,429
34,0,436,1,430
35,0,436,1,430
36,0,437,1,429
37,0,436,1,430
38,0,437,1,429
39,0,437,1,1295
40,0,437,1,429
41,0,437,1,1295
42,0,437,1,430
43,0,436,1,430
44,0,437,1,429
45,0,437,1,1296
46,0,435,1,1296
47,0,437,1,429
48,0,437,1,429
49,0,437,1,430
50,0,436,1,430
51,0,436,1,430
52,0,437,1,429
53,0,436,1,430
54,0,437,1,429
55,0,436,1,430
56,0,437,1,430
57,0,436,1,430
58,0,436,1,429
59,0,437,1,1296
60,0,436,1,430
61,0,436,1,430
62,0,437,1,428
63,0,438,1,1295
64,0,438,1,1294
65,0,438,1,1294
66,0,437,1,430
67,0,437,1,429
68,0,437,1,1295
69,0,436,1,1296
70,0,437,1,1295
71,0,437,1,2744
72,0,3463,1,1727
73,0,438,1,1294
74,0,438,1,428
75,0,438,1,428
76,0,439,1,428
77,0,437,1,1295
78,0,437,1,429
79,0,436,1,429
80,0,438,1,429
81,0,437,1,429
82,0,438,1,1295
83,0,437,1,429
84,0,437,1,1294
85,0,438,1,1294
86,0,438,1,429
87,0,438,1,1294
88,0,438,1,1294
89,0,438,1,1294
90,0,438,1,1295
91,0,437,1,1295
92,0,438,1,428
93,0,438,1,428
94,0,438,1,1294
95,0,437,1,429
96,0,438,1,428
97,0,438,1,429
98,0,437,1,428
99,0,438,1,429
100,0,437,1,429
101,0,438,1,428
102,0,438,1,428
103,0,438,1,428
104,0,438,1,428
105,0,438,1,429
106,0,437,1,1294
107,0,439,1,427
108,0,438,1,429
109,0,437,1,429
110,0,438,1,428
111,0,438,1,1293
112,0,438,1,429
113,0,438,1,429
114,0,437,1,429
115,0,437,1,428
116,0,438,1,428
117,0,439,1,428
118,0,438,1,428
119,0,438,1,428
120,0,437,1,429
121,0,438,1,429
122,0,437,1,428
123,0,438,1,428
124,0,438,1,428
125,0,439,1,1294
126,0,437,1,429
127,0,438,1,428
128,0,438,1,428
129,0,438,1,427
130,0,439,1,428
131,0,438,1,1294
132,0,438,1,428
133,0,438,1,428
134,0,438,1,1294
135,0,438,1,1295
136,0,438,1,428
137,0,438,1,2744
138,0,3462,1,1727
139,0,439,1,1294
140,0,438,1,428
141,0,438,1,428
142,0,438,1,428
143,0,438,1,1294
144,0,438,1,428
145,0,439,1,428
146,0,438,1,428
147,0,438,1,428
148,0,438,1,1294
149,0,439,1,427
150,0,437,1,1295
151,0,438,1,1295
152,0,437,1,428
153,0,438,1,1295
154,0,438,1,1293
155,0,439,1,1294
156,0,438,1,1294
157,0,439,1,1294
158,0,437,1,428
159,0,439,1,428
160,0,437,1,1295
161,0,438,1,428
162,0,438,1,428
163,0,438,1,428
164,0,438,1,428
165,0,439,1,428
166,0,437,1,428
167,0,438,1,429
168,0,438,1,428
169,0,437,1,429
170,0,438,1,428
171,0,438,1,427
172,0,439,1,428
173,0,438,1,428
174,0,438,1,428
175,0,439,1,427
176,0,439,1,427
177,0,439,1,428
178,0,438,1,428
179,0,437,1,428
180,0,439,1,428
181,0,438,1,428
182,0,438,1,1294
183,0,438,1,1294
184,0,438,1,1295
185,0,439,1,426
186,0,439,1,427
187,0,439,1,428
188,0,438,1,428
189,0,438,1,1294
190,0,439,1,1293
191,0,439,1,427
192,0,438,1,1294
193,0,439,1,428
194,0,438,1,428
195,0,438,1,428
196,0,438,1,428
197,0,438,1,428
198,0,438,1,428
199,0,438,1,428
200,0,439,1,427
201,0,439,1,427
202,0,439,1,427
203,0,439,1,428
204,0,439,1,427
205,0,438,1,427
206,0,440,1,427
207,0,439,1,427
208,0,439,1,1293
209,0,439,1,427
210,0,439,1,1294
211,0,438,1,427
212,0,439,1,428
213,0,439,1,427
214,0,438,1,428
215,0,438,1,428
216,0,439,1,427
217,0,439,1,427
218,0,439,1,427
219,0,439,1,428
220,0,438,1,427
221,0,438,1,428
222,0,438,1,427
223,0,439,1,428
224,0,439,1,427
225,0,439,1,427
226,0,439,1,428
227,0,439,1,426
228,0,440,1,1292
229,0,440,1,1293
230,0,439,1,427
231,0,439,1,427
232,0,439,1,427
233,0,439,1,427
234,0,439,1,428
235,0,438,1,427
236,0,439,1,427
237,0,440,1,427
238,0,438,1,428
239,0,439,1,427
240,0,438,1,1294
241,0,439,1,1293
242,0,440,1,426
243,0,439,1,427
244,0,439,1,427
245,0,439,1,427
246,0,440,1,427
247,0,438,1,428
248,0,439,1,427
249,0,439,1,427
250,0,439,1,427
251,0,439,1,427
252,0,439,1,427
253,0,439,1,427
254,0,440,1,426
255,0,440,1,427
