index,level0,duration0_us,level1,duration1_us
0,0,509,1,352
1,0,510,1,356
2,0,534,1,331
3,0,508,1,359
4,0,504,1,362
5,0,501,1,25056
6,0,3486,1,1729
7,0,437,1,1295
8,0,437,1,429
9,0,437,1,429
10,0,437,1,429
11,0,437,1,1296
12,0,436,1,430
13,0,436,1,430
14,0,435,1,431
15,0,437,1,430
16,0,436,1,1296
17,0,435,1,430
18,0,437,1,1296
19,0,436,1,1295
20,0,437,1,430
21,0,436,1,1297
22,0,436,1,1295
23,0,436,1,1295
24,0,438,1,1295
25,0,437,1,1296
26,0,437,1,429
27,0,437,1,429
28,0,437,1,1295
29,0,437,1,429
30,0,437,1,429
31,0,436,1,430
32,0,437,1,430
33,0,436,1,430
34,0,436,1,430
35,0,437,1,429
36,0,437,1,429
37,0,436,1,430
38,0,437,1,429
39,0,437,1,1295
40,0,438,1,429
41,0,437,1,1295
42,0,436,1,430
43,0,437,1,429
44,0,437,1,430
45,0,436,1,1295
46,0,437,1,1296
47,0,436,1,430
48,0,436,1,430
49,0,436,1,430
50,0,436,1,430
51,0,437,1,428
52,0,437,1,430
53,0,436,1,431
54,0,436,1,429
55,0,437,1,429
56,0,437,1,430
57,0,436,1,429
58,0,437,1,429
59,0,437,1,430
60,0,436,1,430
61,0,437,1,429
62,0,436,1,430
63,0,437,1,1296
64,0,436,1,1296
65,0,437,1,1294
66,0,438,1,427
67,0,438,1,1296
68,0,436,1,430
69,0,437,1,1295
70,0,437,1,1295
71,0,437,1,2745
72,0,3461,1,1728
73,0,437,1,1295
74,0,438,1,428
75,0,438,1,428
76,0,438,1,428
77,0,438,1,1295
78,0,437,1,429
79,0,437,1,429
80,0,438,1,428
81,0,438,1,428
82,0,438,1,1293
83,0,438,1,429
84,0,438,1,1294
85,0,438,1,1294
86,0,438,1,429
87,0,438,1,1294
88,0,438,1,1294
89,0,438,1,1295
90,0,437,1,1295
91,0,437,1,1295
92,0,438,1,428
93,0,437,1,429
94,0,439,1,1293
95,0,438,1,428
96,0,438,1,428
97,0,438,1,429
98,0,437,1,429
99,0,437,1,429
100,0,438,1,427
101,0,438,1,429
102,0,437,1,429
103,0,437,1,429
104,0,437,1,429
105,0,438,1,428
106,0,438,1,1295
107,0,438,1,428
108,0,437,1,428
109,0,438,1,429
110,0,438,1,428
111,0,438,1,1294
112,0,438,1,428
113,0,438,1,429
114,0,438,1,427
115,0,438,1,428
116,0,438,1,429
117,0,437,1,428
118,0,439,1,428
119,0,438,1,428
120,0,437,1,429
121,0,437,1,429
122,0,438,1,428
123,0,438,1,428
124,0,438,1,428
125,0,438,1,1294
126,0,439,1,427
127,0,439,1,428
128,0,437,1,429
129,0,438,1,428
130,0,437,1,429
131,0,438,1,1294
132,0,438,1,429
133,0,437,1,429
134,0,437,1,1294
135,0,439,1,1294
136,0,438,1,428
137,0,438,1,2744
138,0,3462,1,1727
139,0,439,1,1293
140,0,438,1,428
141,0,439,1,428
142,0,438,1,428
143,0,438,1,1294
144,0,439,1,427
145,0,438,1,428
146,0,438,1,428
147,0,438,1,429
148,0,437,1,1294
149,0,439,1,428
150,0,437,1,1295
151,0,438,1,1294
152,0,438,1,428
153,0,438,1,1294
154,0,439,1,1293
155,0,439,1,1293
156,0,439,1,1294
157,0,438,1,1294
158,0,439,1,428
159,0,438,1,427
160,0,439,1,1293
161,0,439,1,428
162,0,437,1,429
163,0,438,1,428
164,0,438,1,428
165,0,438,1,428
166,0,438,1,428
167,0,439,1,427
168,0,438,1,429
169,0,438,1,428
170,0,437,1,428
171,0,439,1,428
172,0,438,1,428
173,0,438,1,428
174,0,437,1,429
175,0,438,1,428
176,0,439,1,428
177,0,437,1,428
178,0,439,1,428
179,0,438,1,427
180,0,440,1,426
181,0,439,1,427
182,0,439,1,1294
183,0,438,1,1294
184,0,438,1,1294
185,0,438,1,428
186,0,438,1,428
187,0,438,1,429
188,0,438,1,427
189,0,439,1,1294
190,0,439,1,1293
191,0,438,1,428
192,0,439,1,1294
193,0,438,1,427
194,0,439,1,428
195,0,437,1,429
196,0,437,1,429
197,0,439,1,427
198,0,438,1,428
199,0,439,1,427
200,0,438,1,428
201,0,438,1,428
202,0,439,1,427
203,0,439,1,427
204,0,439,1,428
205,0,438,1,427
206,0,439,1,428
207,0,438,1,1294
208,0,439,1,1293
209,0,439,1,427
210,0,439,1,1293
211,0,440,1,426
212,0,440,1,427
213,0,439,1,427
214,0,439,1,426
215,0,439,1,428
216,0,438,1,428
217,0,439,1,427
218,0,440,1,426
219,0,438,1,427
220,0,439,1,428
221,0,439,1,426
222,0,440,1,427
223,0,439,1,426
224,0,440,1,427
225,0,439,1,427
226,0,440,1,426
227,0,440,1,426
228,0,439,1,1293
229,0,440,1,1292
230,0,439,1,427
231,0,439,1,428
232,0,439,1,427
233,0,439,1,427
234,0,439,1,427
235,0,439,1,427
236,0,440,1,426
237,0,440,1,427
238,0,439,1,426
239,0,440,1,426
240,0,440,1,1293
241,0,439,1,1293
242,0,439,1,426
243,0,440,1,428
244,0,438,1,428
245,0,438,1,428
246,0,439,1,426
247,0,440,1,427
248,0,439,1,427
249,0,439,1,426
250,0,440,1,427
251,0,439,1,428
252,0,438,1,427
253,0,440,1,427
254,0,439,1,426
255,0,440,1,426
