index,level0,duration0_us,level1,duration1_us
0,0,509,1,353
1,0,511,1,354
2,0,535,1,331
3,0,531,1,336
4,0,504,1,362
5,0,500,1,25055
6,0,3487,1,1730
7,0,436,1,1295
8,0,437,1,428
9,0,438,1,430
10,0,436,1,429
11,0,437,1,1295
12,0,437,1,430
13,0,437,1,429
14,0,437,1,429
15,0,437,1,429
16,0,437,1,1295
17,0,438,1,428
18,0,438,1,1295
19,0,437,1,1294
20,0,438,1,428
21,0,438,1,1296
22,0,436,1,1296
23,0,436,1,1295
24,0,437,1,1296
25,0,437,1,1294
26,0,437,1,429
27,0,438,1,429
28,0,437,1,1295
29,0,437,1,428
30,0,438,1,429
31,0,438,1,429
32,0,436,1,429
33,0,437,1,429
34,0,438,1,428
35,0,438,1,428
36,0,438,1,430
37,0,436,1,429
38,0,437,1,428
39,0,438,1,1295
40,0,438,1,428
41,0,437,1,1295
42,0,438,1,428
43,0,438,1,428
44,0,437,1,430
45,0,437,1,1295
46,0,437,1,1295
47,0,437,1,430
48,0,436,1,430
49,0,437,1,428
50,0,437,1,430
51,0,436,1,430
52,0,436,1,429
53,0,437,1,429
54,0,438,1,428
55,0,438,1,430
56,0,437,1,428
57,0,437,1,429
58,0,438,1,428
59,0,437,1,429
60,0,437,1,429
61,0,437,1,430
62,0,437,1,428
63,0,438,1,1295
64,0,437,1,1295
65,0,438,1,1295
66,0,437,1,428
67,0,438,1,1294
68,0,438,1,428
69,0,437,1,1295
70,0,438,1,1296
71,0,437,1,2742
72,0,3463,1,1728
73,0,438,1,1294
74,0,438,1,428
75,0,438,1,428
76,0,439,1,427
77,0,438,1,1294
78,0,439,1,428
79,0,437,1,428
80,0,439,1,427
81,0,438,1,428
82,0,439,1,1294
83,0,438,1,428
84,0,438,1,1294
85,0,438,1,1294
86,0,438,1,429
87,0,437,1,1295
88,0,438,1,1294
89,0,437,1,1295
90,0,438,1,1295
91,0,438,1,1293
92,0,438,1,429
93,0,437,1,428
94,0,439,1,1294
95,0,437,1,429
96,0,438,1,428
97,0,437,1,429
98,0,438,1,429
99,0,437,1,428
100,0,438,1,428
101,0,438,1,428
102,0,438,1,428
103,0,438,1,429
104,0,438,1,428
105,0,438,1,428
106,0,438,1,1294
107,0,437,1,429
108,0,438,1,428
109,0,438,1,429
110,0,438,1,428
111,0,437,1,1295
112,0,437,1,428
113,0,439,1,428
114,0,438,1,427
115,0,438,1,429
116,0,437,1,429
117,0,438,1,428
118,0,439,1,427
119,0,438,1,428
120,0,438,1,428
121,0,439,1,427
122,0,438,1,428
123,0,439,1,428
124,0,438,1,428
125,0,438,1,1294
126,0,439,1,427
127,0,438,1,428
128,0,438,1,428
129,0,437,1,429
130,0,438,1,428
131,0,439,1,1294
132,0,438,1,428
133,0,438,1,427
134,0,439,1,1294
135,0,438,1,1294
136,0,438,1,428
137,0,438,1,2744
138,0,3462,1,1727
139,0,439,1,1294
140,0,438,1,428
141,0,438,1,428
142,0,438,1,427
143,0,439,1,1294
144,0,439,1,427
145,0,439,1,427
146,0,439,1,428
147,0,438,1,428
148,0,438,1,1294
149,0,438,1,428
150,0,438,1,1294
151,0,438,1,1294
152,0,439,1,428
153,0,437,1,1295
154,0,438,1,1294
155,0,438,1,1294
156,0,437,1,1296
157,0,437,1,1295
158,0,437,1,428
159,0,439,1,428
160,0,438,1,1294
161,0,438,1,428
162,0,438,1,428
163,0,439,1,427
164,0,438,1,428
165,0,438,1,428
166,0,439,1,427
167,0,438,1,428
168,0,438,1,428
169,0,439,1,428
170,0,438,1,428
171,0,438,1,428
172,0,438,1,428
173,0,438,1,428
174,0,438,1,428
175,0,438,1,428
176,0,439,1,428
177,0,437,1,429
178,0,437,1,428
179,0,439,1,428
180,0,438,1,428
181,0,438,1,428
182,0,439,1,1293
183,0,438,1,1294
184,0,438,1,1295
185,0,438,1,427
186,0,438,1,428
187,0,439,1,428
188,0,438,1,428
189,0,437,1,429
190,0,438,1,428
191,0,438,1,428
192,0,438,1,428
193,0,439,1,1294
194,0,437,1,428
195,0,439,1,427
196,0,439,1,428
197,0,438,1,428
198,0,438,1,428
199,0,438,1,427
200,0,439,1,428
201,0,438,1,429
202,0,438,1,428
203,0,438,1,428
204,0,438,1,427
205,0,439,1,427
206,0,439,1,428
207,0,438,1,1294
208,0,439,1,427
209,0,439,1,1293
210,0,439,1,427
211,0,439,1,427
212,0,439,1,427
213,0,439,1,428
214,0,438,1,428
215,0,439,1,427
216,0,438,1,427
217,0,440,1,427
218,0,439,1,426
219,0,439,1,428
220,0,438,1,428
221,0,439,1,427
222,0,437,1,428
223,0,440,1,427
224,0,438,1,427
225,0,439,1,428
226,0,439,1,426
227,0,440,1,427
228,0,439,1,1293
229,0,439,1,1293
230,0,439,1,427
231,0,439,1,428
232,0,438,1,428
233,0,438,1,427
234,0,439,1,428
235,0,439,1,427
236,0,438,1,427
237,0,439,1,428
238,0,439,1,428
239,0,438,1,428
240,0,439,1,1293
241,0,438,1,1293
242,0,439,1,428
243,0,439,1,426
244,0,441,1,426
245,0,439,1,427
246,0,439,1,427
247,0,439,1,427
248,0,439,1,427
249,0,440,1,426
250,0,440,1,427
251,0,439,1,427
252,0,439,1,427
253,0,439,1,427
254,0,439,1,427
255,0,439,1,428
256,0,438,1,426
257,0,440,1,427
258,0,439,1,427
259,0,439,1,1293
260,0,440,1,427
261,0,439,1,426
262,0,440,1,427
263,0,439,1,426
264,0,440,1,427
265,0,439,1,1293
266,0,439,1,1293
267,0,439,1,428
268,0,438,1,427
269,0,439,1,428
270,0,439,1,427
271,0,439,1,427
272,0,439,1,426
273,0,440,1,427
274,0,439,1,1293
275,0,439,1,427
276,0,439,1,427
277,0,440,1,426
278,0,439,1,428
279,0,439,1,427
280,0,438,1,428
281,0,439,1,427
282,0,438,1,428
283,0,439,1,1293
284,0,439,1,427
285,0,439,1,427
286,0,439,1,427
287,0,439,1,427
288,0,439,1,428
289,0,438,1,428
290,0,439,1,1293
291,0,439,1,0
