index,level0,duration0_us,level1,duration1_us
0,0,532,1,329
1,0,512,1,354
2,0,536,1,330
3,0,519,1,348
4,0,504,1,362
5,0,500,1,25055
6,0,3488,1,1727
7,0,438,1,1295
8,0,437,1,428
9,0,439,1,428
10,0,437,1,430
11,0,436,1,1296
12,0,436,1,431
13,0,436,1,429
14,0,437,1,428
15,0,438,1,429
16,0,436,1,1297
17,0,436,1,428
18,0,438,1,1295
19,0,437,1,1295
20,0,438,1,428
21,0,438,1,1294
22,0,439,1,1295
23,0,435,1,1296
24,0,437,1,1296
25,0,436,1,1296
26,0,437,1,428
27,0,438,1,428
28,0,438,1,1294
29,0,438,1,429
30,0,437,1,429
31,0,437,1,430
32,0,436,1,429
33,0,438,1,428
34,0,437,1,429
35,0,437,1,429
36,0,438,1,428
37,0,438,1,429
38,0,437,1,429
39,0,437,1,1295
40,0,437,1,429
41,0,438,1,1294
42,0,437,1,429
43,0,438,1,428
44,0,438,1,428
45,0,439,1,1294
46,0,437,1,1296
47,0,436,1,429
48,0,437,1,429
49,0,437,1,430
50,0,436,1,429
51,0,437,1,429
52,0,437,1,429
53,0,438,1,429
54,0,436,1,429
55,0,438,1,428
56,0,438,1,428
57,0,439,1,428
58,0,437,1,429
59,0,437,1,429
60,0,438,1,428
61,0,438,1,428
62,0,437,1,430
63,0,437,1,1296
64,0,436,1,1294
65,0,438,1,1294
66,0,439,1,428
67,0,437,1,1295
68,0,438,1,428
69,0,438,1,1295
70,0,437,1,1294
71,0,438,1,2744
72,0,3462,1,1728
73,0,437,1,1295
74,0,438,1,428
75,0,438,1,428
76,0,437,1,429
77,0,438,1,1294
78,0,437,1,429
79,0,438,1,429
80,0,438,1,427
81,0,439,1,428
82,0,438,1,1294
83,0,438,1,428
84,0,438,1,1294
85,0,438,1,1294
86,0,439,1,427
87,0,438,1,1295
88,0,438,1,1293
89,0,438,1,1295
90,0,438,1,1294
91,0,438,1,1294
92,0,438,1,428
93,0,438,1,428
94,0,438,1,1294
95,0,439,1,427
96,0,439,1,428
97,0,438,1,428
98,0,438,1,428
99,0,438,1,428
100,0,439,1,427
101,0,438,1,428
102,0,439,1,427
103,0,438,1,428
104,0,439,1,427
105,0,439,1,427
106,0,439,1,1294
107,0,438,1,428
108,0,438,1,428
109,0,438,1,428
110,0,438,1,428
111,0,439,1,1294
112,0,437,1,428
113,0,439,1,428
114,0,438,1,428
115,0,437,1,429
116,0,438,1,428
117,0,438,1,428
118,0,438,1,428
119,0,438,1,428
120,0,438,1,428
121,0,439,1,427
122,0,438,1,428
123,0,439,1,428
124,0,438,1,428
125,0,438,1,1294
126,0,438,1,428
127,0,438,1,428
128,0,438,1,429
129,0,437,1,428
130,0,438,1,428
131,0,439,1,1294
132,0,438,1,428
133,0,439,1,426
134,0,439,1,1294
135,0,439,1,1293
136,0,438,1,428
137,0,438,1,2744
138,0,3462,1,1727
139,0,439,1,1294
140,0,438,1,428
141,0,438,1,428
142,0,438,1,428
143,0,438,1,1294
144,0,438,1,428
145,0,438,1,428
146,0,438,1,429
147,0,438,1,428
148,0,438,1,1294
149,0,438,1,428
150,0,437,1,1295
151,0,438,1,1294
152,0,438,1,428
153,0,439,1,1293
154,0,439,1,1293
155,0,438,1,1295
156,0,438,1,1294
157,0,439,1,1293
158,0,439,1,428
159,0,437,1,429
160,0,438,1,1294
161,0,438,1,428
162,0,437,1,429
163,0,438,1,428
164,0,438,1,428
165,0,438,1,428
166,0,438,1,428
167,0,438,1,429
168,0,438,1,427
169,0,439,1,428
170,0,438,1,428
171,0,438,1,428
172,0,438,1,428
173,0,437,1,429
174,0,439,1,427
175,0,438,1,428
176,0,439,1,428
177,0,437,1,428
178,0,438,1,428
179,0,439,1,428
180,0,437,1,429
181,0,439,1,427
182,0,438,1,1294
183,0,439,1,427
184,0,438,1,428
185,0,438,1,428
186,0,438,1,429
187,0,437,1,429
188,0,439,1,426
189,0,439,1,1294
190,0,438,1,1294
191,0,439,1,427
192,0,439,1,1293
193,0,439,1,427
194,0,439,1,427
195,0,438,1,428
196,0,439,1,428
197,0,438,1,428
198,0,438,1,427
199,0,439,1,428
200,0,439,1,427
201,0,439,1,427
202,0,438,1,428
203,0,438,1,428
204,0,439,1,427
205,0,439,1,427
206,0,439,1,427
207,0,440,1,1293
208,0,438,1,427
209,0,440,1,1293
210,0,438,1,428
211,0,439,1,427
212,0,439,1,427
213,0,439,1,427
214,0,439,1,427
215,0,439,1,428
216,0,438,1,427
217,0,440,1,427
218,0,439,1,427
219,0,438,1,428
220,0,439,1,426
221,0,440,1,426
222,0,439,1,427
223,0,439,1,428
224,0,438,1,428
225,0,438,1,427
226,0,440,1,426
227,0,440,1,426
228,0,440,1,1293
229,0,439,1,1293
230,0,439,1,427
231,0,439,1,427
232,0,440,1,427
233,0,438,1,427
234,0,439,1,428
235,0,439,1,427
236,0,439,1,427
237,0,438,1,427
238,0,440,1,427
239,0,439,1,427
240,0,438,1,1294
241,0,439,1,1293
242,0,440,1,426
243,0,440,1,427
244,0,439,1,427
245,0,439,1,427
246,0,439,1,427
247,0,439,1,427
248,0,439,1,427
249,0,440,1,426
250,0,440,1,426
251,0,439,1,427
252,0,440,1,427
