index,level0,duration0_us,level1,duration1_us
0,0,507,1,354
1,0,511,1,355
2,0,535,1,332
3,0,529,1,337
4,0,503,1,363
5,0,500,1,25055
6,0,3487,1,1730
7,0,436,1,1295
8,0,437,1,429
9,0,437,1,430
10,0,436,1,430
11,0,436,1,1297
12,0,435,1,430
13,0,436,1,430
14,0,436,1,431
15,0,436,1,429
16,0,437,1,1295
17,0,437,1,429
18,0,437,1,1295
19,0,438,1,1296
20,0,435,1,430
21,0,437,1,1294
22,0,437,1,1296
23,0,437,1,1296
24,0,436,1,1295
25,0,437,1,1296
26,0,437,1,429
27,0,437,1,429
28,0,437,1,1294
29,0,438,1,429
30,0,437,1,429
31,0,437,1,430
32,0,436,1,429
33,0,437,1,430
34,0,437,1,428
35,0,438,1,429
36,0,437,1,428
37,0,438,1,429
38,0,437,1,429
39,0,436,1,1297
40,0,437,1,428
41,0,438,1,1294
42,0,437,1,429
43,0,438,1,428
44,0,438,1,429
45,0,437,1,1295
46,0,437,1,1295
47,0,437,1,430
48,0,436,1,429
49,0,438,1,428
50,0,437,1,431
51,0,436,1,428
52,0,438,1,428
53,0,438,1,430
54,0,436,1,428
55,0,438,1,430
56,0,436,1,429
57,0,438,1,428
58,0,438,1,429
59,0,436,1,429
60,0,438,1,428
61,0,438,1,428
62,0,437,1,429
63,0,438,1,1294
64,0,438,1,1295
65,0,437,1,1295
66,0,438,1,427
67,0,439,1,1294
68,0,438,1,430
69,0,436,1,1294
70,0,438,1,1295
71,0,437,1,2744
72,0,3463,1,1726
73,0,439,1,1294
74,0,438,1,428
75,0,438,1,428
76,0,438,1,428
77,0,438,1,1294
78,0,439,1,428
79,0,437,1,429
80,0,438,1,428
81,0,438,1,427
82,0,438,1,1295
83,0,437,1,429
84,0,438,1,1295
85,0,437,1,1294
86,0,438,1,429
87,0,437,1,1295
88,0,437,1,1295
89,0,438,1,1294
90,0,438,1,1294
91,0,438,1,1294
92,0,438,1,428
93,0,438,1,429
94,0,437,1,1295
