index,level0,duration0_us,level1,duration1_us
0,0,511,1,351
1,0,511,1,355
2,0,534,1,330
3,0,532,1,336
4,0,504,1,362
5,0,500,1,25056
6,0,3486,1,1729
7,0,437,1,1295
8,0,438,1,428
9,0,438,1,429
10,0,436,1,429
11,0,438,1,1296
12,0,436,1,429
13,0,437,1,430
14,0,436,1,429
15,0,437,1,429
16,0,437,1,1295
17,0,437,1,429
18,0,438,1,1295
19,0,437,1,1295
20,0,437,1,428
21,0,439,1,1295
22,0,436,1,1295
23,0,437,1,1295
24,0,438,1,1294
25,0,438,1,1294
26,0,438,1,429
27,0,437,1,429
28,0,437,1,1296
29,0,436,1,430
30,0,437,1,428
31,0,438,1,430
32,0,436,1,430
33,0,436,1,429
34,0,437,1,429
35,0,437,1,429
36,0,437,1,429
37,0,437,1,429
38,0,437,1,429
39,0,437,1,1295
40,0,438,1,429
41,0,437,1,1294
42,0,438,1,430
43,0,436,1,428
44,0,438,1,429
45,0,437,1,1295
46,0,438,1,1295
47,0,437,1,428
48,0,437,1,429
49,0,437,1,430
50,0,437,1,429
51,0,437,1,429
52,0,437,1,429
53,0,437,1,429
54,0,438,1,428
55,0,437,1,430
56,0,437,1,428
57,0,437,1,429
58,0,437,1,429
59,0,438,1,428
60,0,438,1,429
61,0,437,1,429
62,0,437,1,429
63,0,437,1,1294
64,0,439,1,1294
65,0,438,1,1294
66,0,438,1,429
67,0,437,1,1294
68,0,438,1,429
69,0,437,1,1295
70,0,438,1,1295
71,0,437,1,2743
72,0,3463,1,1727
73,0,438,1,1294
74,0,438,1,429
75,0,437,1,429
76,0,437,1,428
77,0,439,1,1294
78,0,437,1,429
79,0,438,1,428
80,0,438,1,428
81,0,438,1,428
82,0,438,1,1294
83,0,438,1,428
84,0,439,1,1293
85,0,438,1,1295
86,0,437,1,429
87,0,438,1,1294
88,0,438,1,1294
89,0,438,1,1294
90,0,439,1,1294
91,0,438,1,1294
92,0,438,1,428
93,0,438,1,428
94,0,438,1,1294
95,0,438,1,429
96,0,437,1,428
97,0,438,1,430
98,0,436,1,429
99,0,437,1,429
100,0,438,1,428
101,0,438,1,428
102,0,438,1,428
103,0,438,1,428
104,0,439,1,427
105,0,437,1,429
106,0,439,1,1294
107,0,438,1,428
108,0,438,1,427
109,0,439,1,428
110,0,438,1,428
111,0,438,1,1294
112,0,438,1,428
113,0,438,1,428
114,0,438,1,428
115,0,438,1,428
116,0,439,1,428
117,0,438,1,427
118,0,438,1,429
119,0,438,1,428
120,0,438,1,427
121,0,440,1,427
122,0,438,1,428
123,0,438,1,429
124,0,437,1,428
125,0,438,1,1294
126,0,439,1,428
127,0,437,1,429
128,0,438,1,428
129,0,438,1,428
130,0,438,1,428
131,0,438,1,1294
132,0,438,1,428
133,0,439,1,427
134,0,439,1,1293
135,0,439,1,1294
136,0,438,1,427
